Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Accounts Receivable,0.352768,0.446885,-0.449954,0.24891,-0.062301,0.184768,-0.06133,-0.081877,0.149968,-0.069037,-0.205603,ADANIENT
Inventory,0.051088,0.040164,-0.681558,0.270907,0.4181,0.139274,-0.039887,-0.314292,2.863474,0.019116,0.371319,ADANIENT
Net PP&E,0.081429,0.053456,-0.827067,0.221705,-0.295638,-0.091891,0.188295,0.04795,1.814262,0.673045,0.194714,ADANIENT
Total Assets,0.056599,0.106591,-0.680907,0.142094,0.184638,-0.247077,0.102552,0.101165,0.97046,0.390404,0.136011,ADANIENT
Tangible Book Value,0.127645,-0.005963,-0.51176,0.084539,0.088275,-0.0184,0.11559,-0.075779,-0.243313,1.195239,-0.046333,ADANIENT
Common Equity,0.110362,0.082948,-0.480034,0.056688,0.06743,-0.022085,0.148457,0.012509,0.297107,0.485004,0.182296,ADANIENT
Cash from Ops.,0.073241,0.036939,-0.400819,-0.848579,2.801193,0.130611,-0.262465,0.647936,-0.65739,11.724113,-0.41769,ADANIENT
Capital Expenditures,-0.278221,-0.158818,-0.380572,-0.296112,0.753009,-0.757383,0.636927,0.426663,1.814094,0.264197,0.518936,ADANIENT
Levered Free Cash Flow,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,ADANIENT
Unlevered Free Cash Flow,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,ADANIENT
Dividend per Share,0,0,-0.714286,0,0,0,1.5,0,0,0.2,0.083333,ADANIENT
Compound Annual Growth Rate Over Two Years,,,,,,,,,,,,ADANIENT
Total Revenue,0.182883,0.178975,-0.21502,-0.247882,0.028935,0.051318,0.099172,-0.010475,0.264693,0.796055,0.178536,ADANIENT
Gross Profit,0.352802,0.504509,-0.36285,-0.488544,0.034421,0.119924,0.214635,0.147292,0.340219,0.914623,0.712113,ADANIENT
EBITDA,0.381989,0.392708,-0.591629,-0.606555,0.100111,0.013211,0.054041,0.117243,0.273175,0.851431,0.716119,ADANIENT
EBITA,0.303958,0.476329,-0.552077,-0.576457,-0.003909,-0.007152,0.173358,0.139187,0.189491,0.801964,0.797698,ADANIENT
EBIT,0.30284,0.474574,-0.551744,-0.575953,-0.003795,-0.007152,0.156884,0.116203,0.161023,0.800111,0.832001,ADANIENT
Earnings from Cont. Ops.,0.144342,0.373814,-0.385254,-0.352299,-0.260621,-0.343791,0.379379,0.587172,-0.129706,0.518904,1.057335,ADANIENT
Net Income,0.098844,0.098969,-0.325373,-0.287933,-0.134426,-0.14792,0.225981,0.134264,-0.173993,0.637158,1.042854,ADANIENT
Normalized Net Income,-0.427985,0.154987,0.247693,-0.22176,0.019264,-0.107896,0.027728,0.182563,-0.014727,0.644639,1.079289,ADANIENT
Diluted EPS before Extra,0.098844,0.098969,-0.325373,-0.274082,-0.162078,-0.218869,0.266439,0.21368,-0.173993,0.608312,0.96378,ADANIENT
Accounts Receivable,0.138334,0.399036,-0.107894,-0.171171,0.082175,0.054019,0.054565,-0.07166,0.027528,0.034687,-0.140026,ADANIENT
Inventory,-0.132538,0.045612,-0.424472,-0.363832,0.342488,0.271065,0.045865,-0.188607,0.627642,0.984271,0.182174,ADANIENT
Net PP&E,0.048766,0.067351,-0.573178,-0.540356,-0.072356,-0.200226,0.038798,0.115918,0.717326,1.169882,0.413793,ADANIENT
Total Assets,0.0514,0.081307,-0.405774,-0.396316,0.163172,-0.055573,-0.088881,0.101858,0.473025,0.655215,0.256788,ADANIENT
Tangible Book Value,0.065358,0.058736,-0.303344,-0.272322,0.086406,0.033563,0.046453,0.015407,-0.163731,0.288841,0.446903,ADANIENT
Common Equity,0.104571,0.09657,-0.249602,-0.258756,0.062046,0.021693,0.059761,0.078343,0.146008,0.38788,0.325034,ADANIENT
Cash from Ops.,3.150699,0.054935,-0.211765,-0.698787,-0.241328,1.073083,-0.086837,0.102457,-0.248601,1.087921,1.722018,ADANIENT
Capital Expenditures,-0.400124,-0.220803,-0.278161,-0.339691,0.110821,-0.347842,-0.369804,0.528184,1.003688,0.886153,0.385725,ADANIENT
Levered Free Cash Flow,NM,NM,NM,NM,NM,NM,NM,-0.945732,NM,NM,NM,ADANIENT
Unlevered Free Cash Flow,NM,NM,NM,NM,NM,NM,NM,-0.616896,NM,-0.032969,NM,ADANIENT
Dividend per Share,0.183216,0,-0.465478,-0.465478,0,0,0.581139,0.581139,0,0.095445,0.140175,ADANIENT
Compound Annual Growth Rate Over Three Years,,,,,,,,,,,,ADANIENT
Total Revenue,0.277612,0.179509,-0.099462,-0.127837,-0.177585,0.059696,0.059117,0.032461,0.197966,0.43233,0.346032,ADANIENT
Gross Profit,0.345255,0.423702,-0.164728,-0.255608,-0.349327,0.084176,0.158212,0.161674,0.305508,0.573413,0.704846,ADANIENT
EBITDA,0.344399,0.328772,-0.359041,-0.424953,-0.452294,0.0539,0.056485,0.064813,0.230237,0.55015,0.637778,ADANIENT
EBITA,0.243298,0.300694,-0.303494,-0.385392,-0.4642,0.044843,0.056876,0.142655,0.192183,0.520987,0.615936,ADANIENT
EBIT,0.242587,0.299663,-0.303547,-0.385041,-0.463776,0.044923,0.046959,0.127233,0.162078,0.513631,0.616926,ADANIENT
Earnings from Cont. Ops.,-0.021729,0.04386,-0.063566,-0.285742,-0.380411,-0.253977,0.025596,0.241433,0.238014,0.323796,0.471791,ADANIENT
Net Income,-0.035626,0.019349,-0.144276,-0.236669,-0.270185,-0.108083,0.048387,0.068065,0.026889,0.295196,0.520101,ADANIENT
Normalized Net Income,-0.35784,-0.013271,-0.109028,0.211533,-0.180271,-0.031261,-0.013311,0.069625,0.054243,0.46339,0.535799,ADANIENT
Diluted EPS before Extra,-0.046274,0.019349,-0.144276,-0.226802,-0.285812,-0.147428,0.035008,0.091435,0.074279,0.279937,0.480617,ADANIENT
Accounts Receivable,0.260729,0.23308,0.02491,-0.00202,-0.136363,0.115346,0.014075,0.006969,-0.002989,-0.005725,-0.052559,ADANIENT
Inventory,-0.053054,-0.078418,-0.296511,-0.25054,-0.168969,0.271012,0.157584,-0.091419,0.365045,0.392453,0.754339,ADANIENT
Net PP&E,0.239825,0.050327,-0.418123,-0.39398,-0.470076,-0.078914,-0.087388,0.04184,0.518949,0.702437,0.778466,ADANIENT
Total Assets,0.22987,0.069485,-0.280101,-0.261185,-0.244209,0.006189,-0.00556,-0.029488,0.337436,0.444953,0.460037,ADANIENT
Tangible Book Value,0.056997,0.041033,-0.182032,-0.192591,-0.167842,0.050283,0.060212,0.004011,-0.079411,0.153608,0.165732,ADANIENT
Common Equity,0.102529,0.097316,-0.144902,-0.158908,-0.162945,0.033228,0.062312,0.043771,0.146824,0.249398,0.315659,ADANIENT
Cash from Ops.,0.432495,1.614159,-0.126352,-0.545187,-0.298724,-0.133423,0.468945,0.111763,-0.253251,0.92955,0.364146,ADANIENT
Capital Expenditures,-0.221938,-0.328565,-0.27818,-0.284195,-0.085691,-0.331035,-0.113705,-0.17252,0.87311,0.718535,0.754814,ADANIENT
Levered Free Cash Flow,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,ADANIENT
Unlevered Free Cash Flow,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,ADANIENT
Dividend per Share,0.118689,0.118689,-0.341366,-0.341366,-0.341366,0,0.357209,0.357209,0.357209,0.062659,0.091393,ADANIENT
Compound Annual Growth Rate Over Five Years,,,,,,,,,,,,ADANIENT
Total Revenue,0.159644,0.200594,0.051436,-0.014775,-0.050147,-0.060164,-0.076407,0.031049,0.137,0.288404,0.190156,ADANIENT
Gross Profit,0.462261,0.492154,-0.002347,-0.054689,-0.090138,-0.123491,-0.16479,0.108994,0.227844,0.418678,0.455059,ADANIENT
EBITDA,0.583161,0.485991,-0.165283,-0.183373,-0.204441,-0.278724,-0.288342,0.078795,0.138343,0.328517,0.40544,ADANIENT
EBITA,0.492707,0.418104,-0.173531,-0.169644,-0.196336,-0.255419,-0.266882,0.081605,0.108049,0.371032,0.405052,ADANIENT
EBIT,0.492195,0.41743,-0.173569,-0.169644,-0.196336,-0.255163,-0.27067,0.072872,0.091175,0.35934,0.394156,ADANIENT
Earnings from Cont. Ops.,0.392428,0.187528,-0.18763,-0.137547,-0.148012,-0.309554,-0.146633,0.009023,-0.0396,0.345755,0.516901,ADANIENT
Net Income,0.344939,0.16206,-0.164065,-0.116916,-0.140349,-0.202336,-0.101907,-0.018071,-0.04697,0.267053,0.352101,ADANIENT
Normalized Net Income,0.042111,0.170495,-0.162414,-0.102645,-0.059772,0.071932,-0.102667,0.049189,-0.013878,0.270478,0.383345,ADANIENT
Diluted EPS before Extra,0.160818,-0.005633,-0.169615,-0.110084,-0.151442,-0.223639,-0.101907,-0.018071,-0.054286,0.274521,0.367437,ADANIENT
Accounts Receivable,0.30902,0.442637,0.097842,0.051916,0.047443,0.020029,-0.064534,0.036403,0.019435,0.017966,-0.060246,ADANIENT
Inventory,0.048387,0.03811,-0.224072,-0.205399,-0.089,-0.074202,-0.088912,0.062141,0.326646,0.24182,0.288726,ADANIENT
Net PP&E,0.55579,0.366215,-0.190689,-0.245319,-0.298786,-0.322859,-0.30635,-0.005435,0.175203,0.397189,0.47598,ADANIENT
Total Assets,0.42454,0.338114,-0.080617,-0.149198,-0.127791,-0.184942,-0.185538,0.043417,0.163674,0.201551,0.304574,ADANIENT
Tangible Book Value,0.466236,0.274914,-0.105354,-0.0979,-0.083698,-0.108768,-0.087965,0.036191,-0.035784,0.109489,0.103101,ADANIENT
Common Equity,0.510736,0.336307,-0.054741,-0.062042,-0.067461,-0.090853,-0.08011,0.051043,0.095031,0.169779,0.215035,ADANIENT
Cash from Ops.,NM,0.458162,0.128024,0.101409,-0.174298,-0.165653,-0.220614,-0.045823,0.123444,0.430517,0.252741,ADANIENT
Capital Expenditures,0.184048,0.007662,-0.244934,-0.333037,-0.142341,-0.310367,-0.212145,-0.06908,0.228229,0.150497,0.660385,ADANIENT
Levered Free Cash Flow,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,ADANIENT
Unlevered Free Cash Flow,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,NM,ADANIENT
Dividend per Share,0.22866,0.06961,-0.167447,-0.167447,-0.22163,-0.22163,-0.06508,0.201124,0.201124,0.245731,0.265834,ADANIENT
,,,,,,,,,,,,ADANIENT
Return on Assets %,0.064522,0.067621,0.06328,0.065325,0.082324,0.068798,0.057594,0.053605,0.05283,0.055171,0.06434,ADANIPORTS
Return on Capital %,0.073828,0.075995,0.069205,0.070773,0.089877,0.074633,0.062808,0.059376,0.058597,0.062161,0.07369,ADANIPORTS
Return on Equity %,0.225367,0.234339,0.2326,0.249339,0.189794,0.175986,0.149612,0.174346,0.133053,0.120738,0.168719,ADANIPORTS
Return on Common Equity %,0.234034,0.24025,0.241637,0.254824,0.192019,0.176264,0.15104,0.178691,0.135228,0.121747,0.174513,ADANIPORTS
Margin Analysis,,,,,,,,,,,,ADANIPORTS
Gross Margin %,0.651756,0.688097,0.696922,0.692401,0.670607,0.693163,0.675597,0.68565,0.665604,0.665685,0.656115,ADANIPORTS
SG&A Margin %,0.02325,0.004752,0.006013,0.005488,0.004319,0.004754,0.001473,0.001663,0.002538,0.002501,0.004197,ADANIPORTS
EBITDA Margin %,0.623307,0.647305,0.651894,0.645467,0.633038,0.647315,0.614809,0.629681,0.605506,0.606744,0.586436,ADANIPORTS
EBITA Margin %,0.488828,0.499112,0.51776,0.521694,0.539018,0.534255,0.49074,0.486049,0.462618,0.475603,0.468078,ADANIPORTS
EBIT Margin %,0.488828,0.499112,0.503405,0.508965,0.529066,0.523426,0.478248,0.470438,0.432422,0.453921,0.450316,ADANIPORTS
Earnings from Cont. Ops Margin %,0.360484,0.377844,0.401749,0.462298,0.325882,0.370213,0.330851,0.402302,0.289341,0.25853,0.32044,ADANIPORTS
Net Income Margin %,0.360202,0.376192,0.407554,0.463485,0.324439,0.365222,0.32898,0.397964,0.285419,0.254597,0.303649,ADANIPORTS
Net Income Avail. for Common Margin %,0.360202,0.376192,0.407554,0.463485,0.324439,0.365222,0.32898,0.397964,0.285419,0.254597,0.320689,ADANIPORTS
Normalized Net Income Margin %,0.240555,0.247127,0.278159,0.30969,0.294637,0.288894,0.210067,0.304332,0.216605,0.195641,0.240497,ADANIPORTS
Levered Free Cash Flow Margin %,-0.224163,-0.02415,0.079319,-0.361802,-0.02038,0.36461,0.178254,0.32665,0.043052,-0.036426,0.013401,ADANIPORTS
Unlevered Free Cash Flow Margin %,-0.130151,0.087105,0.175624,-0.272639,0.045728,0.445613,0.282558,0.428915,0.135103,0.039966,0.076724,ADANIPORTS
Asset Turnover,,,,,,,,,,,,ADANIPORTS
Total Asset Turnover,0.211191,0.216774,0.201126,0.205359,0.248965,0.210301,0.192683,0.182317,0.195476,0.194469,0.228607,ADANIPORTS
Fixed Asset Turnover,0.330755,0.360634,0.37896,0.42612,0.512741,0.434809,0.394653,0.343296,0.377515,0.388779,0.425551,ADANIPORTS
Accounts Receivable Turnover,5.448075,4.755098,3.522438,3.287285,3.113406,2.889024,3.588155,3.829909,5.72283,5.721858,6.323223,ADANIPORTS
Inventory Turnover,12.579976,8.953269,9.146938,5.974659,6.335592,5.052593,6.777891,6.163374,8.251504,16.448838,20.653325,ADANIPORTS
Short Term Liquidity,,,,,,,,,,,,ADANIPORTS
Current Ratio,2.016822,1.241655,0.893975,1.816287,3.563742,1.413405,1.925546,1.783844,1.59107,1.404327,1.061314,ADANIPORTS
Quick Ratio,0.745175,0.505145,0.572249,1.033973,2.328808,1.114647,1.517678,1.293439,1.102872,0.882464,0.557264,ADANIPORTS
Cash from Ops. to Curr. Liab.,0.419237,0.558961,0.301441,0.61968,1.398901,0.582455,0.961714,1.0442,0.916563,0.949671,0.912205,ADANIPORTS
Avg. Days Sales Out.,66.996115,76.7595,103.905204,111.03373,117.234715,126.340005,102.002004,95.30223,63.77937,63.79032,57.881802,ADANIPORTS
Avg. Days Inventory Out.,29.014215,40.767215,40.013316,61.091145,57.61087,72.24007,53.998908,59.22052,44.23435,22.18981,17.720988,ADANIPORTS
Avg. Days Payable Out.,45.02494,56.839625,66.491952,51.54603,48.020495,53.254595,74.567742,68.41341,77.346055,89.740725,89.06427,ADANIPORTS
Avg. Cash Conversion Cycle,50.98539,60.68709,77.426568,120.578845,126.82509,145.32548,81.43317,86.10934,30.667665,-3.8,-13.5,ADANIPORTS
Long Term Solvency,,,,,,,,,,,,ADANIPORTS
Total Debt/Equity,1.451511,1.622722,1.639724,1.25791,1.046787,1.115273,1.187247,1.112729,1.127114,1.13536,0.903942,ADANIPORTS
Total Debt/Capital,0.592088,0.618716,0.621172,0.557112,0.511429,0.527247,0.542804,0.526678,0.529879,0.531695,0.474773,ADANIPORTS
LT Debt/Equity,1.266685,1.267499,1.161211,1.018964,0.972544,0.805526,1.035039,1.049202,0.983347,1.048751,0.744664,ADANIPORTS
LT Debt/Capital,0.516695,0.483276,0.439898,0.451286,0.475156,0.380814,0.473215,0.496609,0.462292,0.491135,0.391116,ADANIPORTS
Total Liabilities/Total Assets,0.638865,0.65941,0.64696,0.594695,0.552119,0.562192,0.58454,0.574984,0.574854,0.591184,0.541338,ADANIPORTS
EBIT / Interest Exp.,3.249755,2.587081,3.266989,3.567676,5.001795,4.038658,2.865703,2.87511,2.936028,3.713742,4.444616,ADANIPORTS
EBITDA / Interest Exp.,4.143777,3.35522,4.230654,4.52451,5.984745,4.994569,3.734282,3.890353,4.156083,5.045262,5.867151,ADANIPORTS
(EBITDA-CAPEX) / Interest Exp.,2.428579,1.837766,2.290863,1.411301,3.703562,2.917922,1.837242,2.745093,2.643478,1.458684,3.126707,ADANIPORTS
Total Debt/EBITDA,4.29705,4.452615,4.822638,4.079293,3.098708,3.902731,4.304045,4.467505,4.558623,4.142521,3.105174,ADANIPORTS
Net Debt/EBITDA,4.124358,4.242518,4.523617,3.551639,2.615927,3.000668,3.290424,3.740062,3.670485,3.656536,2.798418,ADANIPORTS
Total Debt/(EBITDA-CAPEX),7.331867,8.129163,8.906213,13.077868,5.007335,6.680254,8.748173,6.33136,7.167078,14.328053,5.826745,ADANIPORTS
Net Debt/(EBITDA-CAPEX),7.03721,7.745588,8.353996,11.386251,4.227189,5.136204,6.687941,5.300425,5.770745,12.647141,5.251129,ADANIPORTS
Altman Z Score,2.131809,2.486556,2.262178,2.352529,3.260286,2.563094,2.421524,2.213391,2.510477,2.391001,2.881872,ADANIPORTS
Growth Over Prior Year,,,,,,,,,,,,ADANIPORTS
Total Revenue,0.350324,0.273804,0.155506,0.187194,0.341686,-0.035108,0.046984,0.09711,0.36409,0.218071,0.280964,ADANIPORTS
Gross Profit,0.249421,0.344829,0.170326,0.179492,0.299454,-0.002653,0.020452,0.113435,0.324209,0.218218,0.262548,ADANIPORTS
EBITDA,0.246637,0.322848,0.163698,0.17549,0.31585,-0.013346,-0.005591,0.123648,0.31172,0.220561,0.238089,ADANIPORTS
EBITA,0.184695,0.300603,0.198679,0.196213,0.386241,-0.043634,-0.038293,0.086623,0.298331,0.252261,0.260696,ADANIPORTS
EBIT,0.184695,0.300603,0.165443,0.200308,0.394674,-0.045395,-0.043383,0.079194,0.253859,0.278632,0.270789,ADANIPORTS
Earnings from Cont. Ops.,0.120673,0.335146,0.228613,0.366119,-0.054223,0.096153,-0.064336,0.334046,-0.018928,0.088361,0.587718,ADANIPORTS
Net Income,0.071721,0.330349,0.251835,0.350122,-0.060821,0.086182,-0.056912,0.327166,-0.021679,0.086536,0.527758,ADANIPORTS
Normalized Net Income,0.21494,0.308602,0.300607,0.321769,0.27647,-0.053917,-0.238693,0.589424,-0.029124,0.100181,0.574662,ADANIPORTS
Diluted EPS before Extra,0.101248,0.322479,0.251297,0.350122,-0.060821,0.086182,-0.047852,0.339899,-0.079615,0.086288,0.613494,ADANIPORTS
Accounts Receivable,0.264432,0.613666,0.526531,0.105458,0.698092,-0.347815,0.135541,-0.066972,-0.108684,0.585109,-0.109593,ADANIPORTS
Inventory,0.729862,0.529686,-0.182492,2.10109,-0.208191,0.550443,-0.642635,2.440578,-0.60111,0.142376,-0.031994,ADANIPORTS
Net PP&E,0.061064,0.269305,-0.034054,0.148829,0.085599,0.185949,0.126164,0.381178,0.138554,0.221626,0.12824,ADANIPORTS
Total Assets,0.171777,0.300076,0.203346,0.128971,0.086957,0.193188,0.100415,0.21317,0.320977,0.151247,0.036203,ADANIPORTS
Tangible Book Value,0.394485,-0.065165,0.126557,0.453483,0.28587,0.141202,0.062973,0.031206,0.127893,0.139662,0.289855,ADANIPORTS
Common Equity,0.382307,0.233438,0.253745,0.301394,0.20408,0.165975,0.044502,0.195811,0.373827,0.085307,0.162788,ADANIPORTS
Cash from Ops.,0.316545,1.70083,-0.221307,0.706589,0.380441,0.075115,0.227619,0.020801,0.379095,0.141971,0.262034,ADANIPORTS
Capital Expenditures,-0.675228,0.445395,0.179759,0.76404,-0.271073,0.076254,0.231566,-0.350613,0.621677,1.396895,-0.188681,ADANIPORTS
Levered Free Cash Flow,NM,NM,NM,NM,NM,NM,-0.48814,1.010449,-0.820212,NM,NM,ADANIPORTS
Unlevered Free Cash Flow,NM,NM,1.329759,NM,NM,8.402594,-0.336118,0.66538,-0.570327,-0.639672,1.45911,ADANIPORTS
Dividend per Share,0,0.1,0,0.181818,0.538461,-0.9,15,0.5625,0,0,0.2,ADANIPORTS
Compound Annual Growth Rate Over Two Years,,,,,,,,,,,,ADANIPORTS
Total Revenue,0.338118,0.311506,0.213214,0.171243,0.262078,0.137797,0.0051,0.071755,0.223339,0.289015,0.249122,ADANIPORTS
Gross Profit,0.285526,0.296248,0.254547,0.1749,0.238021,0.138423,0.008834,0.065931,0.214258,0.270109,0.240185,ADANIPORTS
EBITDA,0.288734,0.284178,0.240724,0.169579,0.243692,0.139425,-0.009476,0.057055,0.214048,0.26532,0.229294,ADANIPORTS
EBITA,0.255972,0.241297,0.248602,0.197446,0.287727,0.151414,-0.040967,0.022259,0.18777,0.275088,0.256472,ADANIPORTS
EBIT,0.255972,0.241297,0.23117,0.182748,0.293847,0.153847,-0.044389,0.016059,0.163253,0.266185,0.274705,ADANIPORTS
Earnings from Cont. Ops.,0.253532,0.223218,0.280773,0.295543,0.136681,0.018193,0.012734,0.117238,0.144026,0.033325,0.314538,ADANIPORTS
