Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Tangible Book Value/Share,186,184.9,90.3,97.9,106.6,104.6,116.7,107.8,75.8,172.8,141.8,ADANIENT
Total Debt,719799.2,835706.4,194763.1,212268.7,179955.8,116317,128702.5,162270.6,416040.3,532004.6,653101.5,ADANIENT
Net Debt,681145.1,793287,183305.3,196855.8,164340.5,102071.8,97289.4,147656.6,398739.5,505271.5,609291.9,ADANIENT
Debt Equiv. of Unfunded Proj. Benefit Obligation,16.9,-1.2,14.5,-3.2,-5.1,222.4,326.4,438,972.2,1427.9,1809.3,ADANIENT
Debt Equivalent Oper. Leases,4592,6308.8,765.6,4032.8,1592.8,,810.4,1012,910.4,4611.2,2428.8,ADANIENT
Total Minority Interest,44806.5,41018.5,852.3,5622.5,7778.6,3877.7,12633.7,17514.4,46718.6,48390.4,51102,ADANIENT
Equity Method Investments,455.5,631.2,7349.2,9431.6,11824.7,13643.1,17022.5,36704,42289.7,59747.8,70749.5,ADANIENT
Inventory Method,,,,,,,,,,,,ADANIENT
Raw Materials Inventory,12879.4,17110.3,0.7,1768.1,1938.9,800.9,964.4,1458.8,2399.1,1109.8,13430.4,ADANIENT
Work in Progress Inventory,,,,,872,443.4,2375.7,2957.7,5010.8,4690.3,18670.1,ADANIENT
Finished Goods Inventory,19996.9,16197.9,8324.2,8278.5,19824.1,24595,21402,12336.2,58478.7,62070.8,59255.9,ADANIENT
Other Inventory Accounts,6364.4,7508.6,4672.9,6472.4,790.6,848.9,881.6,817.7,1994.2,1309.6,3512.2,ADANIENT
Land,22057.2,28078.1,12315.5,15844.7,16328.8,12246.4,4652.7,5314.3,5625.6,6910.2,4581.4,ADANIENT
Buildings,38736.2,53921.2,4867.3,6780.5,11417,10589.8,10644,12207.9,109514.8,39404.5,45871.7,ADANIENT
Machinery,625075.6,735142.3,55152.3,87245.6,55121.6,47640.7,58445.4,51828.5,76884.8,117161.3,182570.8,ADANIENT
Construction in Progress,135736,67330.2,77049.4,77314.9,55258.7,57649.2,72311.4,86862.7,195641.7,176989.6,219309.8,ADANIENT
"Natural Resources, at Cost",,,,,,,,,,90075.2,90628.6,ADANIENT
Full Time Employees,643,547,897,858,877,877,2042,790,5051,6647,8676,ADANIENT
"Assets on Oper. Lease, Gross",166.8,,,627.9,,,,,,,3828.7,ADANIENT
"Assets on Oper. Lease, Accum. Depr.",-28.7,,,-29.1,,,,,,,-323.6,ADANIENT
Accum. Allowance for Doubtful Accts,421.3,492.5,143,416.7,1052.5,670,1382.2,738.5,849.2,1128.5,926,ADANIENT
Filing Date,,,,,,,,,,,,ADANIENT
Restatement Type,,,,,,,,,,,,ADANIENT
Calculation Type,,,,,,,,,,,,ADANIENT
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,ADANIENT
,,,,,,,,,,,,ADANIENT
Cash And Equivalents,5139.2,6337.8,8430,9502.1,8234.8,47981.9,71954.6,41980.4,86530.2,11211.1,15757.3,ADANIPORTS
Short Term Investments,59.4,2028.7,5426.9,19095.6,26362,15548.8,184.2,14004.2,6056.8,14685.4,26331.3,ADANIPORTS
Trading Asset Securities,,,,145.4,8.3,265.1,118.9,2127.4,477.9,36595.1,6617.9,ADANIPORTS
Total Cash & ST Investments,5198.6,8366.5,13856.9,28743.1,34605.1,63795.8,72257.7,58112,93064.9,62491.6,48706.5,ADANIPORTS
Accounts Receivable,9900,15975.3,24386.8,26958.6,45778.2,29855.9,33902.6,31632.1,28194.2,44690.9,39793.1,ADANIPORTS
Other Receivables,5020.4,3285.6,6947.6,12084.7,12977.7,21733.2,10647.4,3848.5,4123.3,3391.3,3242.6,ADANIPORTS
Notes Receivable,13667.7,21782.2,15703.6,17858.7,15077.6,15507.6,18562.1,10860.3,13068.1,4192.6,2807.9,ADANIPORTS
Total Receivables,28588.1,41043.1,47038,56902,73833.5,67096.7,63112.1,46340.9,45385.6,52274.8,45843.6,ADANIPORTS
Inventory,1694.4,2591.9,2118.9,6570.9,5202.9,8066.8,2882.8,9918.5,3956.4,4519.7,4375.1,ADANIPORTS
Prepaid Exp.,228.8,282.8,110,933.8,345.5,456.2,546.5,999.3,1035.7,1579.1,1931.7,ADANIPORTS
Other Current Assets,18742.3,15624.3,7474.6,25924.4,28882,6895.9,9400,13707.4,37441.6,55098.7,73866.7,ADANIPORTS
Total Current Assets,54452.2,67908.6,70598.4,119074.2,142869,146311.4,148199.1,129078.1,180884.2,175963.9,174723.6,ADANIPORTS
"Gross Property, Plant & Equipment",176748.3,232095.2,194403.2,233625.6,262852.6,318249.9,367951.5,502413.3,585809.8,720526,823285.9,ADANIPORTS
Accumulated Depreciation,-26404.6,-41263.1,-10069.6,-21857.7,-32957.4,-45605.8,-60909.4,-78333.2,-102971.3,-130677.9,-157795.6,ADANIPORTS
"Net Property, Plant & Equipment",150343.7,190832.1,184333.6,211767.9,229895.2,272644.1,307042.1,424080.1,482838.5,589848.1,665490.3,ADANIPORTS
Long-term Investments,589.2,834.3,5414.6,3026.4,5996.5,2684.9,11730.1,11039,41974.2,49414.2,51499.7,ADANIPORTS
Goodwill,880.2,26445.8,26445.8,26703.9,26671.3,32679.3,32862.5,40470.5,67114.3,69074.7,69069.3,ADANIPORTS
Other Intangibles,654.2,746.5,17720.4,17202.9,15588.2,20725.6,19403.8,55330.3,115805.4,116659.9,112826.4,ADANIPORTS
Accounts Receivable Long-Term,7245.2,6315.8,4942,6061.5,9259.5,14055,14780.6,14885.4,14012.3,11259.2,12851.5,ADANIPORTS
Loans Receivable Long-Term,6361.1,106.4,29160.5,7617.4,11980.6,12213.1,12663.4,9878.8,5732.6,15896.9,604.5,ADANIPORTS
"Deferred Tax Assets, LT",1,,14226.6,19915.6,13105.4,10283.8,12096.2,8817.3,13578.3,21999,19186.7,ADANIPORTS
"Deferred Charges, LT",1014.1,870.4,,,,,,,142.2,215.6,227.6,ADANIPORTS
Other Long-Term Assets,25230.7,26762,33218,24481,18385.5,53677.4,63258.9,61057.1,74776.2,97299.4,82699.1,ADANIPORTS
Total Assets,246771.6,320821.9,386059.9,435850.8,473751.2,565274.6,622036.7,754636.6,996858.2,1147630.9,1189178.7,ADANIPORTS
LIABILITIES,,,,,,,,,,,,ADANIPORTS
Accounts Payable,2632.3,3623.4,4032.9,4556.6,4897.3,5720.7,7287.4,10138.5,11595.7,22960.4,21673.6,ADANIPORTS
Accrued Exp.,1130.4,1774.3,1621,3775,4689.1,4661.2,5066.6,8053.9,8926.5,12947.5,10994.4,ADANIPORTS
Short-term Borrowings,4071.1,13055.5,36333.2,32621.2,7731.7,65458.7,21571.7,9398.1,53741.5,19776.9,9283.1,ADANIPORTS
Curr. Port. of LT Debt,12400.2,25759.2,28885.4,9589,8020.2,11164.7,17372.9,10654.5,6866.5,20238,76879.9,ADANIPORTS
Curr. Port. of Leases,,,0.1,0.1,1.3,33.2,390.5,322.6,321.6,619.7,712,ADANIPORTS
Curr. Income Taxes Payable,571.3,894,309.6,1939.1,1286.2,285.6,214.6,384.9,939.2,313.4,331,ADANIPORTS
"Unearned Revenue, Current",685,855.6,1069.7,1313.4,2891.2,3596,4765.9,7852.8,5582.5,5838.3,6506.4,ADANIPORTS
Other Current Liabilities,5508.7,8730,6719.4,11764.7,10572.6,12596.8,20295.1,25554.2,25713.6,42607,38249,ADANIPORTS
Total Current Liabilities,26999,54692,78971.3,65559.1,40089.6,103516.9,76964.7,72359.5,113687.1,125301.2,164629.4,ADANIPORTS
Long-Term Debt,112884.1,138497.8,158196.7,179932.4,206289.7,198833.2,261813.3,329355.3,396914.8,465169.4,376629.3,ADANIPORTS
Long-Term Leases,,,70,69.9,68.5,519.6,5672.8,7157.5,19837.8,26872.9,29532.8,ADANIPORTS
"Unearned Revenue, Non-Current",6595.7,6186.8,9205.2,10404.5,12277.4,11583.3,14532.6,10657.9,9882.1,11488.4,16649.9,ADANIPORTS
Pension & Other Post-Retire. Benefits,3.5,9.3,15,39.1,2.1,8.4,31.1,186.4,238,12053.4,10901,ADANIPORTS
"Def. Tax Liability, Non-Curr.",6744.7,8590.2,2211.4,2157.1,1424,2160.3,2869.7,12031.6,30108.6,34245.8,41698.7,ADANIPORTS
Other Non-Current Liabilities,4426.9,3577.3,1095.8,1036.5,1416,1171.5,1721.7,2156.5,2379.9,3330,3707.6,ADANIPORTS
Total Liabilities,157653.9,211553.4,249765.4,259198.6,261567.3,317793.2,363605.9,433904.7,573048.3,678461.1,643748.7,ADANIPORTS
"Pref. Stock, Redeemable",28.1,28.1,1658.8,1658.8,1658.8,1658.8,1665.3,1665.3,1665.3,1665.3,1665.3,ADANIPORTS
"Pref. Stock, Other",1391.5,1252.5,,,,,,,,,,ADANIPORTS
Total Pref. Equity,1419.6,1280.6,1658.8,1658.8,1658.8,1658.8,1665.3,1665.3,1665.3,1665.3,1665.3,ADANIPORTS
Common Stock,4140.1,4140.1,4141.9,4141.9,4141.9,4141.9,4063.5,4063.5,4224.7,4320.3,4320.3,ADANIPORTS
Additional Paid In Capital,26601.4,26601.4,25357,25357,25517.2,25517.2,5995.6,5995.6,61516.6,97473.6,97473.6,ADANIPORTS
Retained Earnings,54460.2,71855,98770.3,138672.7,171623.7,207952.7,237583.2,286575.3,308602.8,348398.3,419265.6,ADANIPORTS
Treasury Stock,,,,,,,,,,,,ADANIPORTS
Comprehensive Inc. and Other,1059.7,3801.6,5126.9,5429.4,7746.7,6111.4,6927.3,7782.9,43872.8,3701.7,6722.9,ADANIPORTS
Total Common Equity,86261.4,106398.1,133396.1,173601,209029.5,243723.2,254569.6,304417.3,418216.9,453893.9,527782.4,ADANIPORTS
Minority Interest,1436.7,1589.8,1239.6,1392.4,1495.6,2099.4,2195.9,14649.3,3927.7,13610.6,15982.3,ADANIPORTS
Total Equity,89117.7,109268.5,136294.5,176652.2,212183.9,247481.4,258430.8,320731.9,423809.9,469169.8,545430,ADANIPORTS
Total Liabilities And Equity,246771.6,320821.9,386059.9,435850.8,473751.2,565274.6,622036.7,754636.6,996858.2,1147630.9,1189178.7,ADANIPORTS
Supplemental Items,,,,,,,,,,,,ADANIPORTS
Total Shares Out. on Filing Date,2070.1,2070.1,2071,2071,2071,2071,2031.8,2041.8,2112.4,2160.1,2160.1,ADANIPORTS
Total Shares Out. on Balance Sheet Date,2070.1,2070.1,2071,2071,2071,2071,2031.8,2031.8,2112.4,2160.1,2160.1,ADANIPORTS
Book Value/Share,41.7,51.4,64.4,83.8,100.9,117.7,125.3,149.8,198,210.1,244.3,ADANIPORTS
Tangible Book Value,84727,79205.8,89229.9,129694.2,166770,190318.3,202303.3,208616.5,235297.2,268159.3,345886.7,ADANIPORTS
Tangible Book Value/Share,40.9,38.3,43.1,62.6,80.5,91.9,99.6,102.7,111.4,124.1,160.1,ADANIPORTS
Total Debt,129355.4,177312.5,223485.4,222212.6,222111.4,276009.4,306821.2,356888,477682.2,532676.9,493037.1,ADANIPORTS
Net Debt,124156.8,168946,209628.5,193469.5,187506.3,212213.6,234563.5,298776,384617.3,470185.3,444330.6,ADANIPORTS
Debt Equiv. of Unfunded Proj. Benefit Obligation,12.4,49.9,109.6,21.5,-0.3,22.2,55.1,197.8,268.3,2492.1,2821.6,ADANIPORTS
Debt Equivalent Oper. Leases,734.4,1313.6,2296.8,2566.4,2531.2,2928,519.2,892,1452.8,917.6,819.2,ADANIPORTS
Total Minority Interest,1436.7,1589.8,1239.6,1392.4,1495.6,2099.4,2195.9,14649.3,3927.7,13610.6,15982.3,ADANIPORTS
Equity Method Investments,,,,271.3,,30,8260.1,6495.3,11898.5,24983.8,27072.6,ADANIPORTS
Inventory Method,,,,,,,,,,,,ADANIPORTS
Work in Progress Inventory,,,,3890,2970.7,5628.9,,6174.3,,,,ADANIPORTS
Other Inventory Accounts,,2591.9,,2680.9,2232.2,2437.9,2882.8,3744.2,3956.4,4519.7,4375.1,ADANIPORTS
Land,6440.7,6476.9,6424.7,7228.4,7243,16403.1,20317.8,47850.2,57553.9,66457.4,73973.4,ADANIPORTS
Buildings,22159.3,33953.4,28702.6,31611.6,30552.7,41507.5,46603.6,80836.9,92929,106169.2,123284.7,ADANIPORTS
Machinery,77682.9,110652.5,90752.2,101711,123738.8,145650.6,169826.8,220050.4,257440.6,325309.2,354637,ADANIPORTS
Construction in Progress,20248.3,12755.5,19667.6,45139.7,45454.6,44834.8,32163.3,36971.3,40229,66367.7,109360.9,ADANIPORTS
Leasehold Improvements,2128.2,7932,6651.5,6840.6,8207.1,8565.5,11700.2,12606.8,17118.3,17282,19982.1,ADANIPORTS
Full Time Employees,,,,1481,,2300,2266,2773,2660,2959,3129,ADANIPORTS
Accum. Allowance for Doubtful Accts,29,132.8,209.3,250.6,244.3,485.8,680.5,1119.5,1207.4,1911.1,1949.3,ADANIPORTS
Filing Date,,,,,,,,,,,,ADANIPORTS
Restatement Type,,,,,,,,,,,,ADANIPORTS
Calculation Type,,,,,,,,,,,,ADANIPORTS
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,ADANIPORTS
,,,,,,,,,,,,ADANIPORTS
Cash And Equivalents,2741.5,3773.3,3419.8,2827.8,3063.3,2862,3807,4252,5465,4334,9338,APOLLOHOSP
Short Term Investments,1555,1455.7,78.4,,,,,,,,6840,APOLLOHOSP
Trading Asset Securities,,,739,1058.4,578.7,688,749,9978,5013,2922,,APOLLOHOSP
Total Cash & ST Investments,4296.5,5229,4237.2,3886.3,3642.1,3550,4556,14230,10478,7256,16178,APOLLOHOSP
Accounts Receivable,5197.7,6092.7,6100.6,7529.8,8904.7,10967,10935,14324,18978,23819,26608,APOLLOHOSP
Other Receivables,49.2,75.3,67.3,61.8,1186.7,411,923,512,394,1104,,APOLLOHOSP
Notes Receivable,173.6,129.9,114.7,,,80,70,53,130,56,49,APOLLOHOSP
Total Receivables,5420.4,6297.9,6282.6,7591.6,10091.4,11458,11928,14889,19502,24979,26657,APOLLOHOSP
Inventory,2785.5,3502.6,4061.3,4668.7,5658.4,5848,7378,2495,4319,3901,4598,APOLLOHOSP
Prepaid Exp.,160.3,186.3,538.7,498.1,455.9,494,571,685,793,942,,APOLLOHOSP
Other Current Assets,2346.2,4172.9,4625.9,4647.4,2353.4,1467,2036,4114,5514,6292,5364,APOLLOHOSP
Total Current Assets,15008.9,19388.8,19745.7,21292.2,22201.2,22817,26469,36413,40606,43370,52797,APOLLOHOSP
"Gross Property, Plant & Equipment",38534.4,45761.2,47835.7,54271.7,62850.5,69571,99483,92538,105396,117751,,APOLLOHOSP
Accumulated Depreciation,-8659.7,-10106.7,-5771.2,-8710,-11942.9,-15415,-26874,-27081,-32510,-37413,,APOLLOHOSP
"Net Property, Plant & Equipment",29874.7,35654.6,42064.4,45561.7,50907.6,54156,72609,65457,72886,80338,93852,APOLLOHOSP
Long-term Investments,1550.6,1587.5,2697.3,3002,2941.2,3928,3592,3449,3901,4145,3021,APOLLOHOSP
Goodwill,1499.4,1932.6,3309.9,3462.5,3462,3462,3462,3753,9399,9858,10123,APOLLOHOSP
Other Intangibles,351.8,180.4,215.4,277.3,409.5,351,547,859,1079,1060,1358,APOLLOHOSP
Accounts Receivable Long-Term,,,,7,4.5,5,5,5,5,5,,APOLLOHOSP
Loans Receivable Long-Term,234.8,319.5,,,,108,231,179,80,84,66,APOLLOHOSP
"Deferred Tax Assets, LT",228.2,202.8,,162.7,171.7,174,496,251,83,121,109,APOLLOHOSP
Other Long-Term Assets,4976.4,5528.3,5565.3,7427.5,6030.2,6830,5973,3801,4654,5297,6205,APOLLOHOSP
Total Assets,53724.8,64794.4,73598,81192.9,86127.9,91831,113384,114167,132693,144278,167531,APOLLOHOSP
LIABILITIES,,,,,,,,,,,,APOLLOHOSP
Accounts Payable,3250.5,4191.4,5501.9,5011.9,6060.2,7131,9088,11600,16318,19156,23686,APOLLOHOSP
Accrued Exp.,1219,1202.1,2419.9,1386.8,1285.3,1946,2358,1723,2193,2221,1434,APOLLOHOSP
Short-term Borrowings,625,857.4,1829.3,706.9,3791.7,4982,4975,184,97,4424,,APOLLOHOSP
Curr. Port. of LT Debt,594.8,1784.6,2008,998.2,1220.8,2210,2460,3675,1988,3303,9263,APOLLOHOSP
Curr. Port. of Leases,,,,14.1,15.8,18,1575,704,991,1238,1893,APOLLOHOSP
Curr. Income Taxes Payable,136,163.8,,,12.7,11,2,5,30,28,13,APOLLOHOSP
"Unearned Revenue, Current",,,125.3,157.3,598.7,900,1073,804,1086,1335,,APOLLOHOSP
Other Current Liabilities,2142.6,2564,613.9,1358.4,2686.9,2356,1842,1683,1640,1544,10356,APOLLOHOSP
Total Current Liabilities,7967.7,10763.2,12498.3,9633.6,15672.3,19554,23373,20378,24343,33249,46645,APOLLOHOSP
Long-Term Debt,12223.8,17280.6,24533.5,29493.2,29257,29514,28520,24734,24272,19376,22356,APOLLOHOSP
Long-Term Leases,,,,40.6,24.7,7,18675,12301,13333,14983,19814,APOLLOHOSP
"Unearned Revenue, Non-Current",,,,,4.2,,,1,,,,APOLLOHOSP
Pension & Other Post-Retire. Benefits,9.4,18.2,32.7,46.1,62.3,114,101,223,233,553,,APOLLOHOSP
"Def. Tax Liability, Non-Curr.",3519.1,4222.3,2174.7,2413.2,2565.1,3149,2942,2605,5304,4424,4498,APOLLOHOSP
Other Non-Current Liabilities,50.2,66.6,268.2,5188.5,4702.9,4803,5076,5901,6178,6380,1013,APOLLOHOSP
Total Liabilities,23770.2,32351,39507.4,46815.1,52288.5,57141,78687,66143,73663,78965,94326,APOLLOHOSP
"Pref. Stock, Convertible",,,,34.5,,,,,,,,APOLLOHOSP
Total Pref. Equity,,,,34.5,,,,,,,,APOLLOHOSP
Common Stock,695.6,695.6,695.6,695.6,695.6,696,696,719,719,719,719,APOLLOHOSP
Additional Paid In Capital,17610.8,17621,19612.5,17138.5,17138.5,17139,17139,28637,28637,28637,,APOLLOHOSP
Retained Earnings,10411.4,11851,12880.2,14721.7,13851.2,14954,15513,17179,27949,32535,,APOLLOHOSP
Treasury Stock,,,,,,,,,,,,APOLLOHOSP
Comprehensive Inc. and Other,1048.9,1545.7,123,541.7,829.7,546,42,-510,-1072,83,68635,APOLLOHOSP
Total Common Equity,29766.8,31713.3,33311.3,33097.5,32515,33335,33390,46025,56233,61974,69354,APOLLOHOSP
Minority Interest,187.8,730.1,779.3,1245.8,1324.4,1355,1307,1999,2797,3339,3851,APOLLOHOSP
Total Equity,29954.6,32443.5,34090.6,34377.8,33839.4,34690,34697,48024,59030,65313,73205,APOLLOHOSP
Total Liabilities And Equity,53724.8,64794.4,73598,81192.9,86127.9,91831,113384,114167,132693,144278,167531,APOLLOHOSP
Supplemental Items,,,,,,,,,,,,APOLLOHOSP
Total Shares Out. on Filing Date,139.1,139.1,139.1,139.1,139.1,139.1,139.1,143.8,143.8,143.8,143.8,APOLLOHOSP
Total Shares Out. on Balance Sheet Date,139.1,139.1,139.1,139.1,139.1,139.1,139.1,143.8,143.8,143.8,143.8,APOLLOHOSP
Book Value/Share,214,227.9,239.4,237.9,233.7,239.6,240,320.1,391.1,431,482.3,APOLLOHOSP
Tangible Book Value,27915.6,29600.3,29786,29357.7,28643.6,29522,29381,41413,45755,51056,57873,APOLLOHOSP
Tangible Book Value/Share,200.7,212.8,214.1,211,205.9,212.2,211.2,288,318.2,355.1,402.5,APOLLOHOSP
Total Debt,13443.6,19922.6,28370.8,31252.9,34310.1,36731,56205,41598,40681,43324,53326,APOLLOHOSP
Net Debt,9147.1,14693.6,24133.7,27366.6,30668,33181,51649,27368,30203,36068,37148,APOLLOHOSP
Debt Equiv. of Unfunded Proj. Benefit Obligation,184.5,141.4,161.4,187.3,215.1,402,423,537,453,630,,APOLLOHOSP
Debt Equivalent Oper. Leases,10821.7,14340,21269.6,25883.2,26568.9,29096,8616,5096,8168,11456,,APOLLOHOSP
Total Minority Interest,187.8,730.1,779.3,1245.8,1324.4,1355,1307,1999,2797,3339,3851,APOLLOHOSP
Equity Method Investments,748,,,2785.1,2763.5,3654,3242,3082,2359,1857,1984,APOLLOHOSP
Inventory Method,,,,,,,,,,,,APOLLOHOSP
Raw Materials Inventory,171.8,218.2,335.7,370.3,223.5,150,194,164,153,117,,APOLLOHOSP
Finished Goods Inventory,2420.1,3059.8,3559.5,4107.3,5196.6,5434,6711,1990,3714,3145,,APOLLOHOSP
