Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Curr. Income Taxes Payable,,250.29,19.027231,176.109191,36.77,294.2,170.36,587.86,356.7,513.8,62.8,360ONE
"Unearned Revenue, Current",,15.6,18.168291,21.408387,0.2,,1.21,1.06,64.2,82.8,,360ONE
Other Current Liabilities,,12.63,3.034418,2374.421602,3714.88,1196.23,3597.96,3568.86,6589.2,4090.4,4088,360ONE
Total Current Liabilities,,2610.15,1796.161496,40414.44396,53510.34,32015.4,48828.99,24979.32,46413.8,47997.7,30320.5,360ONE
Long-Term Debt,,516.7,516.337468,19829.63011,22485.82,33834.83,48381.1,31023.91,20520.9,25639.1,69547.2,360ONE
Long-Term Leases,,,,,,,236.83,149.76,89.1,244.1,608.7,360ONE
Pension & Other Post-Retire. Benefits,,9.91,16.535424,22.88967,51.45,27.76,44.81,53.55,71.5,98.2,,360ONE
"Def. Tax Liability, Non-Curr.",,,,,,278.1,322.97,341.02,671.5,246,732.8,360ONE
Other Non-Current Liabilities,,10.06,73.837088,495.173531,989.24,2543.21,2533.32,2574.42,9439.1,6431.1,15482,360ONE
Total Liabilities,,3146.82,2402.871476,60762.13727,77036.85,68699.3,100348.02,59121.98,77205.9,80656.2,116691.2,360ONE
Common Stock,,117.24,147.917316,155.927528,159.5,168.97,174.29,175.77,177.4,356.1,358.9,360ONE
Additional Paid In Capital,,209.46,9200.182494,10202.31094,10692.33,18124.02,18804.34,19215.5,19834.7,19931.1,,360ONE
Retained Earnings,,1591.38,2858.885234,4874.344026,7571.23,10456.3,10367.19,7941.03,9120,9534.2,,360ONE
Treasury Stock,,,,,,,,,,,,360ONE
Comprehensive Inc. and Other,,3.14,85.737498,9.033284,205.87,354.86,569.21,945.37,1103.2,1398.1,34138.4,360ONE
Total Common Equity,,1921.22,12292.72254,15241.61578,18628.93,29104.15,29915.03,28277.67,30235.3,31219.5,34497.3,360ONE
Minority Interest,,,,,,,,,,44.9,,360ONE
Total Equity,,1921.22,12292.72254,15241.61578,18628.93,29104.15,29915.03,28277.67,30235.3,31264.4,34497.3,360ONE
Total Liabilities And Equity,,5068.04,14695.59402,76003.75306,95665.78,97803.45,130263.05,87399.65,107441.2,111920.6,151188.5,360ONE
Supplemental Items,,,,,,,,,,,,360ONE
Total Shares Out. on Filing Date,,234.47448,295.834632,311.855056,319.013852,340.504992,348.724168,351.53108,354.831212,356.089556,358.890532,360ONE
Total Shares Out. on Balance Sheet Date,,234.47448,295.834632,311.855056,319.013852,338.085296,348.724168,351.53108,354.831212,356.089556,358.890532,360ONE
Book Value/Share,,8.193727,41.552682,48.874037,58.395363,86.085228,85.784217,80.44145,85.210373,87.673169,96.122067,360ONE
Tangible Book Value,,1567.59,11918.78343,14911.51473,18589.77,26354.41,27159.63,23027.64,25002.3,25211.1,28027.6,360ONE
Tangible Book Value/Share,,6.685546,40.288668,47.815529,58.27261,77.951955,77.882844,65.506697,70.462516,70.799886,78.095122,360ONE
Total Debt,,2019.27,1431.194873,56447.48464,69663.28,61077.68,89878.99,51035.57,58249.9,67836.7,94719.3,360ONE
Net Debt,,-1485.8,-10236.2,26076.14986,64390.62,59280.37,83004.22,30897.28,20222.6,26998.1,88337.6,360ONE
Debt Equiv. of Unfunded Proj. Benefit Obligation,,7.25,22.930413,57.01204,51.45,85.64,92.78,118.47,71.5,98.2,,360ONE
Debt Equivalent Oper. Leases,,892.16,1428.054632,2096.945472,3083.68,,491.44,1194.32,1142.4,1335.2,,360ONE
Total Minority Interest,,,,,,,,,,44.9,,360ONE
Inventory Method,,,,,,,,,,,,360ONE
Finished Goods Inventory,,,,,,197.51,,,,,,360ONE
Land,,,,0.998,1,1,1488.51,1488.51,1488.5,1488.5,,360ONE
Buildings,,,,,,,897.63,897.63,897.6,897.6,,360ONE
Machinery,,126.57,189.651356,341.591092,359.92,885.53,999.31,1031.13,1067.8,1290.4,,360ONE
Construction in Progress,,2.77,15.41911,32.395104,217.34,1734.33,11,24.29,2.7,0.4,,360ONE
Full Time Employees,,,487,,,999,887,861,907,1052,,360ONE
Accum. Allowance for Doubtful Accts,,0.83,7.67776,7.654352,4.27,3.19,10.49,25.31,7.4,15.3,,360ONE
Filing Date,,,,,,,,,,,,360ONE
Restatement Type,,,,,,,,,,,,360ONE
Calculation Type,,,,,,,,,,,,360ONE
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,360ONE
,,,,,,,,,,,,360ONE
Cash And Equivalents,597.018,1139.095,3708.75,7441.59,8546.525,5574.666,7805.716,10624.229,13278.645,7982.054,13578.434,3MINDIA
Total Cash & ST Investments,597.018,1139.095,3708.75,7441.59,8546.525,5574.666,7805.716,10624.229,13278.645,7982.054,13578.434,3MINDIA
Accounts Receivable,2651.773,2529.693,3236.889,4160.537,5800.08,6002.78,5342.491,4885.284,5277.668,6350.355,7030.898,3MINDIA
Other Receivables,,,96.322,96.687,313.115,187.563,276.622,293.983,248.263,57.823,,3MINDIA
Notes Receivable,,32.59,7.01,7.254,21.706,47.267,14.982,3.618,3.154,3.837,4.386,3MINDIA
Total Receivables,2651.773,2562.283,3340.221,4264.478,6134.901,6237.61,5634.095,5182.885,5529.085,6412.015,7035.284,3MINDIA
Inventory,2582.379,2955.655,2945.971,3342.331,3724.722,4245.63,4459.168,4655.535,4995.764,6255.526,5317.935,3MINDIA
Prepaid Exp.,36.501,35.117,55.371,63.006,72.473,95.688,124.241,93.33,54.764,50.613,,3MINDIA
Other Current Assets,406.438,257.478,169.255,160.429,284.274,414.65,664.181,821.244,511.829,574.208,752.96,3MINDIA
Total Current Assets,6274.109,6949.628,10219.568,15271.834,18762.895,16568.244,18687.401,21377.223,24370.087,21274.416,26684.613,3MINDIA
"Gross Property, Plant & Equipment",5798.699,5731.795,3896.517,4089.016,4403.215,4672.705,5051.788,5100.076,5722.19,6332.753,,3MINDIA
Accumulated Depreciation,-1599.7,-1886.5,-397.1,-918,-1313.9,-1690.9,-1926.4,-2205.9,-2424,-2710.4,,3MINDIA
"Net Property, Plant & Equipment",4199.025,3845.343,3499.413,3170.982,3089.307,2981.847,3125.437,2894.16,3298.16,3622.314,3444.226,3MINDIA
Goodwill,0,0,,,,,,,,,,3MINDIA
Other Intangibles,53.977,45.153,4.836,4.929,4.109,2.59,3.477,3.412,5.617,3.106,3.532,3MINDIA
Accounts Receivable Long-Term,60.65,13.351,13.35,,7.726,,,,,,,3MINDIA
Loans Receivable Long-Term,,,2.104,132.318,123.769,97.524,128.9,2.486,1.43,1.718,1.506,3MINDIA
"Deferred Tax Assets, LT",128.855,96.625,83.709,77.953,188.707,307.179,223.632,307.95,328.494,272.767,278.254,3MINDIA
Other Long-Term Assets,160.75,330.892,465.042,657.277,929.438,1225.842,1544.713,1930.072,2055.655,1969.926,2070.105,3MINDIA
Total Assets,10877.366,11280.992,14288.022,19315.293,23105.951,21183.226,23713.56,26515.303,30059.443,27144.247,32482.236,3MINDIA
LIABILITIES,,,,,,,,,,,,3MINDIA
Accounts Payable,1294.323,1566.764,2256.914,3998.376,3565.762,3558.154,3128.703,5003.842,5384.431,7644.436,8239.223,3MINDIA
Accrued Exp.,171.587,210.026,1176.089,1441.457,1698.643,1985.028,1424.915,1087.418,999.733,1053.548,,3MINDIA
Short-term Borrowings,1084.54,,,,,,,,,,,3MINDIA
Curr. Port. of Leases,57.43,67.662,54.348,51.621,48.357,61.896,244.921,126.957,177.349,131.574,94.118,3MINDIA
Curr. Income Taxes Payable,23.267,89.076,,329.892,191.617,183.567,227.95,227.95,429.217,352.765,377.434,3MINDIA
Other Current Liabilities,1074.897,1009.503,717.715,964.743,6645.074,701.161,686.457,440.052,613.871,621.1,1884.044,3MINDIA
Total Current Liabilities,3706.044,2943.031,4205.066,6786.089,12149.453,6489.806,5712.946,6886.219,7604.601,9803.423,10594.819,3MINDIA
Long-Term Leases,67.428,75.437,57.249,46.199,52.392,76.054,176.363,104.302,68.396,135.9,87.66,3MINDIA
Pension & Other Post-Retire. Benefits,10.721,71.996,90.338,155.287,172.506,230.165,250.943,353.56,412.671,257.791,,3MINDIA
Other Non-Current Liabilities,98.907,113.393,54.579,63.777,64.405,58.844,64.581,67.931,138.047,172.428,330.723,3MINDIA
Total Liabilities,3883.1,3203.857,4407.232,7051.352,12438.756,6854.869,6204.833,7412.012,8223.715,10369.542,11013.202,3MINDIA
Common Stock,112.651,112.651,112.651,112.651,112.651,112.651,112.651,112.651,112.651,112.651,112.651,3MINDIA
Additional Paid In Capital,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,94.99,,3MINDIA
Retained Earnings,6786.625,7869.494,9679.108,12086.682,10494.972,14156.771,17378.463,19002.228,21721.939,16656.822,,3MINDIA
Treasury Stock,,,,,,,,,,,,3MINDIA
Comprehensive Inc. and Other,,,-6,-30.4,-35.4,-36.1,-77.4,-106.6,-93.9,-89.8,21356.383,3MINDIA
Total Common Equity,6994.266,8077.135,9880.79,12263.941,10667.195,14328.357,17508.727,19103.291,21835.728,16774.705,21469.034,3MINDIA
Total Equity,6994.266,8077.135,9880.79,12263.941,10667.195,14328.357,17508.727,19103.291,21835.728,16774.705,21469.034,3MINDIA
Total Liabilities And Equity,10877.366,11280.992,14288.022,19315.293,23105.951,21183.226,23713.56,26515.303,30059.443,27144.247,32482.236,3MINDIA
Supplemental Items,,,,,,,,,,,,3MINDIA
Total Shares Out. on Filing Date,11.26507,11.26507,11.26507,11.26507,11.26507,11.26507,11.26507,11.26507,11.26507,11.26507,11.265198,3MINDIA
Total Shares Out. on Balance Sheet Date,11.26507,11.26507,11.26507,11.26507,11.26507,11.26507,11.26507,11.26507,11.26507,11.26507,11.265198,3MINDIA
Book Value/Share,620.880828,717.007084,877.117496,1088.669755,946.92665,1271.927915,1554.249285,1695.798694,1938.357063,1489.090169,1905.78399,3MINDIA
Tangible Book Value,6940.289,8031.982,9875.954,12259.012,10663.086,14325.767,17505.25,19099.879,21830.111,16771.599,21465.502,3MINDIA
Tangible Book Value/Share,616.089291,712.998853,876.688205,1088.232208,946.561894,1271.698,1553.940632,1695.495811,1937.858442,1488.81445,1905.470458,3MINDIA
Total Debt,1209.398,143.099,111.597,97.82,100.749,137.95,421.284,231.259,245.745,267.474,181.778,3MINDIA
Net Debt,612.38,-996,-3597.2,-7343.8,-8445.8,-5436.7,-7384.4,-10393,-13032.9,-7714.6,-13396.7,3MINDIA
Debt Equiv. of Unfunded Proj. Benefit Obligation,10.721,71.996,90.338,155.287,172.506,230.165,250.943,353.56,412.671,257.791,,3MINDIA
Debt Equivalent Oper. Leases,1969.096,1854.336,1597.232,1510.6,1553.84,1590.976,258.656,183.944,278.968,268.824,,3MINDIA
Inventory Method,,,,,,,,,,,,3MINDIA
Raw Materials Inventory,814.207,871.517,728.76,1017.822,1128.041,1330.575,1564.601,1953.653,2115.669,2796.738,,3MINDIA
Work in Progress Inventory,102.622,125.685,96.589,105.395,151.535,160.933,185.093,150.88,175.277,206.401,,3MINDIA
Finished Goods Inventory,1665.55,1958.453,2098.44,2194.563,2395.178,2621.132,2636.875,2460.944,2604.848,3104.271,,3MINDIA
Land,22.795,22.795,22.795,22.795,98.872,98.872,98.872,98.872,98.872,98.872,,3MINDIA
Buildings,1767.044,1766.925,1516.384,1521.938,1566.771,1569.191,1572.989,1593.039,1635.114,1841.011,,3MINDIA
Machinery,3431.498,3425.496,2112.214,2220.456,2384.749,2530.107,2812.909,2925.324,3501.083,3851.172,,3MINDIA
Construction in Progress,70.249,12.997,12.077,24.269,59.137,123.816,69.085,235.189,229.48,245.702,,3MINDIA
Leasehold Improvements,265.225,264.531,63.733,63.787,60.603,59.713,59.019,4.151,4.151,4.151,,3MINDIA
Full Time Employees,1623,1461,1388,1373,1363,1377,1277,1146,1132,1108,,3MINDIA
"Assets under Cap. Lease, Gross",241.888,239.051,169.314,235.771,233.083,291.006,,,,,,3MINDIA
"Assets under Cap. Lease, Accum. Depr.",-138.1,-109.1,-26.6,-106.5,-98.9,-118.4,,,,,,3MINDIA
Accum. Allowance for Doubtful Accts,157.073,267.841,,226.782,,473.976,554.137,457.971,407.217,406.323,,3MINDIA
Filing Date,,,,,,,,,,,,3MINDIA
Restatement Type,,,,,,,,,,,,3MINDIA
Calculation Type,,,,,,,,,,,,3MINDIA
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,3MINDIA
,,,,,,,,,,,,3MINDIA
Cash And Equivalents,148.53,337.1,289.9,285,321,8042,2472.9,4123.2,936.3,1674.5,1300,AARTIIND
Total Cash & ST Investments,148.53,337.1,289.9,285,321,8042,2472.9,4123.2,936.3,1674.5,1300,AARTIIND
Accounts Receivable,4431.976,4389.8,5234,5246.7,6547.5,7760.4,7534.4,7937.3,10915.2,9404.9,8260,AARTIIND
Other Receivables,278.598,306.5,151.9,183.3,137.2,210,193,161.7,161.9,241.2,,AARTIIND
Notes Receivable,3.005,35.1,518.4,295,156.5,829.9,171.3,160.3,3347.3,318.8,80,AARTIIND
Total Receivables,4713.579,4731.4,5904.3,5725,6841.2,8800.3,7898.7,8259.3,14424.4,9964.9,8340,AARTIIND
Inventory,6061.237,5517.3,4951.9,5714.1,7473,7717.9,8356.8,9356.8,9341.2,10310.5,11600,AARTIIND
Prepaid Exp.,17.212,16.6,33,55.8,122.7,134.2,135,222.2,207.2,265,,AARTIIND
Other Current Assets,1307.825,1374.2,1160.8,1392,2091.5,1076.7,1185.3,1714.5,2079.2,2377.9,3450,AARTIIND
Total Current Assets,12248.383,11976.6,12339.9,13171.9,16849.4,25771.1,20048.7,23676,26988.3,24592.8,24690,AARTIIND
"Gross Property, Plant & Equipment",15574.209,18410.1,23556.4,28833.2,34961,41155.5,52138.7,64125.9,,72933.1,,AARTIIND
Accumulated Depreciation,-6138.3,-6811.5,-7970.9,-9189,-10637,-11756.3,-13286.6,-15222,,-14448.5,,AARTIIND
"Net Property, Plant & Equipment",9435.939,11598.6,15585.5,19644.2,24324,29399.2,38852.1,48903.9,48976.7,58484.6,66930,AARTIIND
Long-term Investments,1172.354,1392,412.6,469.6,472.2,331.6,370.1,635.2,282.9,171.7,230,AARTIIND
Goodwill,0,0,4.2,4.2,4.2,4.2,4.2,0,0,,,AARTIIND
Other Intangibles,0.855,0.4,0,17,13,9,5,1,429.7,1087.1,1850,AARTIIND
Loans Receivable Long-Term,305.547,320,,,,,,,,,,AARTIIND
"Deferred Tax Assets, LT",,,,,,,,,277.4,527.8,1440,AARTIIND
Other Long-Term Assets,3538.231,4090.6,1322.6,1683.6,2251.8,3064.3,4044.9,3200.7,1551.9,945,1020,AARTIIND
Total Assets,26701.309,29378.2,29664.8,34990.5,43914.6,58579.4,63325,76416.8,78506.9,85809,96160,AARTIIND
LIABILITIES,,,,,,,,,,,,AARTIIND
Accounts Payable,3689.563,2488.3,3051.9,2997.2,3574.9,2792.8,3451.6,5763.3,3448.5,4049.3,5210,AARTIIND
Accrued Exp.,136.833,303.2,394.3,453.2,457.1,526.2,463.5,389.9,308.8,277.6,,AARTIIND
Short-term Borrowings,6868.376,6483.2,7064,8392.9,10124.8,12908.3,12296.7,12240.7,12781.8,18851.4,,AARTIIND
Curr. Port. of LT Debt,968.415,1348.7,584.5,1281.2,1622.7,2954.5,2874.3,3517.2,3599.4,3541.8,16600,AARTIIND
Curr. Port. of Leases,,,,,,,,46.1,40.7,80.2,90,AARTIIND
"Unearned Revenue, Current",,,,,,,,1900.1,720,667.1,,AARTIIND
Other Current Liabilities,209.872,254.6,136.2,79.5,83.8,139.9,77.6,144.1,757.3,365.8,3870,AARTIIND
Total Current Liabilities,11873.059,10878,11230.9,13204,15863.3,19321.7,19163.7,24001.4,21656.5,27833.2,25770,AARTIIND
Long-Term Debt,2625.706,4192.4,5269.4,5968.9,9082.7,8148,5808.4,12680.5,9298.5,6347.1,15240,AARTIIND
Long-Term Leases,,,,,,,212,131.2,149.1,252.6,490,AARTIIND
"Unearned Revenue, Non-Current",,,,,640,2032.4,5296.9,2112.9,2235.8,2166.8,,AARTIIND
Pension & Other Post-Retire. Benefits,0.478,0.6,,,,,,,,1.3,,AARTIIND
"Def. Tax Liability, Non-Curr.",846.634,1026.6,1270.6,1554.4,1774.1,1930.1,2110.1,2339.4,,,,AARTIIND
Other Non-Current Liabilities,2605.228,3057.9,,,,,,,,,1750,AARTIIND
Total Liabilities,17951.105,19155.5,17770.9,20727.3,27360.1,31432.2,32591.1,41265.4,33339.9,36601,43250,AARTIIND
Common Stock,442.958,443,416.6,410.6,406.5,433.3,871.2,871.2,1812.5,1812.5,1810,AARTIIND
Additional Paid In Capital,219.916,224.2,233.6,13.7,13.7,7400.9,6974.9,6977,13487.8,13487.8,,AARTIIND
Retained Earnings,7169.428,8315.5,9719.7,11834.1,13723.2,17025.5,21485.3,27050.8,29660.8,34199.1,,AARTIIND
Treasury Stock,,,,,,,,,,,,AARTIIND
Comprehensive Inc. and Other,875.291,1181.4,1003.1,1366.3,1640.9,1448,456.3,130,198.7,-298.6,51090,AARTIIND
Total Common Equity,8707.593,10164.1,11373,13624.7,15784.3,26307.7,29787.7,35029,45159.8,49200.8,52900,AARTIIND
Minority Interest,42.611,58.6,520.9,638.5,770.2,839.5,946.2,122.4,7.2,7.2,10,AARTIIND
Total Equity,8750.204,10222.7,11893.9,14263.2,16554.5,27147.2,30733.9,35151.4,45167,49208,52910,AARTIIND
Total Liabilities And Equity,26701.309,29378.2,29664.8,34990.5,43914.6,58579.4,63325,76416.8,78506.9,85809,96160,AARTIIND
Supplemental Items,,,,,,,,,,,,AARTIIND
Total Shares Out. on Filing Date,354.366748,354.366748,333.281532,328.481532,325.2,346.674588,348.468948,348.468948,362.504035,362.504035,362.637362,AARTIIND
Total Shares Out. on Balance Sheet Date,354.366748,354.366748,333.281532,328.481532,325.2,346.674588,348.468948,348.468948,362.504035,362.504035,362.637362,AARTIIND
Book Value/Share,24.572263,28.682431,34.124303,41.477826,48.537207,75.885862,85.481648,100.522586,124.577371,135.724834,145.875757,AARTIIND
Tangible Book Value,8706.738,10163.7,11368.8,13603.5,15767.1,26294.5,29778.5,35028,44730.1,48113.7,51050,AARTIIND
Tangible Book Value/Share,24.56985,28.681302,34.111701,41.413287,48.484317,75.847786,85.455246,100.519716,123.392005,132.72597,140.774242,AARTIIND
Total Debt,10462.497,12024.3,12917.9,15643,20830.2,24010.8,21191.4,28615.7,25869.5,29073.1,32420,AARTIIND
Net Debt,10313.967,11687.2,12628,15358,20509.2,15968.8,18718.5,24492.5,24933.2,27398.6,31120,AARTIIND
Debt Equiv. of Unfunded Proj. Benefit Obligation,13.696,13.3,17.6,20,25.7,12.2,,66.8,54.4,9.3,,AARTIIND
Debt Equivalent Oper. Leases,165.8,24,728.8,941.6,1096.8,1013.6,1040,1036,456.8,335.2,,AARTIIND
Total Minority Interest,42.611,58.6,520.9,638.5,770.2,839.5,946.2,122.4,7.2,7.2,10,AARTIIND
Equity Method Investments,1144.72,1285.8,38,38,38,36.7,36.7,36.7,,,,AARTIIND
Inventory Method,,,,,,,,,,,,AARTIIND
Raw Materials Inventory,2297.533,1853,1741.2,2129.2,2767.1,2359.7,2700.7,2985.2,3021.8,2331.5,,AARTIIND
Work in Progress Inventory,1927.736,1735.3,1419.7,1623.7,2030,2140.7,2084.4,2404,2320.1,2744.6,,AARTIIND
Finished Goods Inventory,1786.739,1857.4,1716.7,1828.9,2481.6,2815.4,2864,3057.4,2638.4,3548.2,,AARTIIND
Other Inventory Accounts,49.229,71.6,74.3,132.3,194.3,402.1,707.7,910.2,1360.9,1686.2,,AARTIIND
Land,428.759,458.5,595.6,1192.3,1525,1636.3,1676.4,2440,,2726.1,,AARTIIND
Buildings,1030.921,1236.1,1610,2209.7,2652.3,2941.5,3256.3,4500.9,,5868.7,,AARTIIND
Machinery,12940.082,14774.3,17978.5,22391.3,25756.4,27780.5,31540.6,42434.9,,53936.6,,AARTIIND
Construction in Progress,1174.447,1929.7,3130.1,2695.2,4362.3,7945.7,14176.4,12979.1,,9889.8,,AARTIIND
Full Time Employees,,2039,3254,3862,4642,5280,6192,7000,7700,6185,,AARTIIND
"Assets on Oper. Lease, Gross",,11.5,11.5,11.5,,,,,,,,AARTIIND
Filing Date,,,,,,,,,,,,AARTIIND
Restatement Type,,,,,,,,,,,,AARTIIND
Calculation Type,,,,,,,,,,,,AARTIIND
"Note: For multiple class companies, total share counts are primary class equivalent, and for foreign companies listed as primary ADRs, total share counts are ADR-equivalent.",,,,,,,,,,,,AARTIIND
,,,,,,,,,,,,AARTIIND
Cash And Equivalents,,,2349.002,2757.673,3584.871,1600.299,3505.939,220.981,478.106,1776.477,17978.216,AAVAS
Long-term Investments,,,,7.796,,,,,525.173,1107.219,1821.563,AAVAS
Trading Asset Securities,,,,,,8.786,,,,,,AAVAS
Loans And Lease Receivables,,,14572.933,21386.533,33334.181,47244.9,61807.983,75232.863,90534.236,114762.745,140043.668,AAVAS
Other Receivables,,,116.047,170.078,1086.517,1769.358,1936.623,2096.331,2623.796,3038.719,239.824,AAVAS
"Gross Property, Plant & Equipment",,,83.155,139.333,255.995,375.183,919.339,1085.282,1367.908,1731.065,,AAVAS
Accumulated Depreciation,,,-26.9,-52.4,-101.5,-182.9,-358.7,-537.2,-743.2,-989,,AAVAS
"Net Property, Plant & Equipment",,,56.206,86.925,154.544,192.297,560.616,548.078,624.735,742.054,853.838,AAVAS
Other Intangibles,,0.461,0.215,16.12,30.035,36.82,45.474,38.61,57.892,245.289,418.173,AAVAS
Other Current Assets,,,9.76,72.74,2210.406,5416.541,8592.896,8994.861,12823.079,12304.406,19.094,AAVAS
Other Long-Term Assets,,8576.112,3.629,8.789,,,120.813,2460.855,2507.79,119.182,3820.16,AAVAS
Total Assets,,8576.573,17107.792,24506.654,40400.554,56269.001,76570.344,89592.579,110174.807,134096.091,165194.536,AAVAS
LIABILITIES,,,,,,,,,,,,AAVAS
Accounts Payable,,,,,91.391,95.024,173.864,28.54,37.03,86.11,309.394,AAVAS
Accrued Exp.,,,225.061,257.905,247.71,193.792,428.303,285.3,328.942,352.348,,AAVAS
Short-term Borrowings,,,1127.529,790.348,341.304,573.363,557.09,0.001,,274.211,,AAVAS
Curr. Port. of LT Debt,,,1376.485,2046.686,,4630.653,5936.293,10039.524,11886.368,14451.653,,AAVAS
Curr. Port. of Leases,,,,,,,89.955,88.578,110.245,129.579,,AAVAS
Long-Term Debt,,7132.528,11963.661,15096.85,27050.472,31328.494,47026.972,53414.704,67838.606,83681.043,123364.957,AAVAS
Long-Term Leases,,,,,,,211.336,234.404,284.579,336.3,618.114,AAVAS
Curr. Income Taxes Payable,,,,1.653,5.165,,,,,,,AAVAS
Other Current Liabilities,,429.633,166.135,449.92,303.645,245.223,321.941,256.998,515.727,561.04,,AAVAS
Pension & Other Post-Retire. Benefits,,,6.615,10.834,77.398,148.912,148.132,235.495,204.59,274.057,,AAVAS
"Def. Tax Liability, Non-Curr.",,,19.076,61.678,113.524,427.493,316.72,282.919,345.753,492.535,602.478,AAVAS
Other Non-Current Liabilities,,0.001,192.202,127.513,271.481,255.846,380.586,718.013,558.664,760.615,2566.441,AAVAS
Total Liabilities,,7562.162,15076.764,18843.387,28502.09,37898.8,55591.192,65584.476,82110.504,101399.491,127461.384,AAVAS
Common Stock,,329.167,383.833,581.636,691.729,781.079,783.227,785.046,789.365,790.569,791.397,AAVAS
Additional Paid In Capital,,,1053.844,3909.762,8323.986,13200.433,13274.379,13340.329,13488.721,13596.321,,AAVAS
Retained Earnings,,,593.351,1171.869,2551.863,4314.454,6804.348,9701.88,13474.905,17867.66,,AAVAS
Treasury Stock,,,,,,,,,,,,AAVAS
Comprehensive Inc. and Other,,685.244,,,330.886,74.235,117.198,180.848,311.312,442.05,36941.755,AAVAS
Total Common Equity,,1014.411,2031.028,5663.267,11898.464,18370.201,20979.152,24008.103,28064.303,32696.6,37733.152,AAVAS
Total Equity,,1014.411,2031.028,5663.267,11898.464,18370.201,20979.152,24008.103,28064.303,32696.6,37733.152,AAVAS
Total Liabilities And Equity,,8576.573,17107.792,24506.654,40400.554,56269.001,76570.344,89592.579,110174.807,134096.091,165194.536,AAVAS
Supplemental Items,,,,,,,,,,,,AAVAS
Total Shares Out. on Filing Date,27.412487,30.60357,38.383334,58.307601,69.172835,78.107901,78.322661,78.504551,78.936451,79.056874,79.156055,AAVAS
