Particulars,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Other Amortization,148.4,169.4,225.3,270.7,297.3,293.1,304.3,271.5,237.7,236,206.7,ASIANPAINT
(Gain) Loss From Sale Of Assets,-71.1,-26.9,-112.3,-14.2,-4.7,-141.8,-120.1,-183.3,-443.6,-117.2,-20.8,ASIANPAINT
(Gain) Loss On Sale Of Invest.,-122.9,-318.2,-524.1,-650,-496,-527.6,-760.9,-922.8,-760.9,-1206.1,-2635.9,ASIANPAINT
Asset Writedown & Restructuring Costs,108,28.8,524.5,,,,,,134.7,246.6,,ASIANPAINT
(Income) Loss on Equity Invest.,,,,-496.1,-457.9,-407.3,-507.4,-286,-315.7,-938.5,-1330,ASIANPAINT
Stock-Based Compensation,,,,,,,,,109.4,133.8,218.4,ASIANPAINT
Provision & Write-off of Bad debts,60.9,134.6,136.2,151.3,155.8,319.2,388.8,368.5,1134.4,397.7,1149.4,ASIANPAINT
Net Cash From Discontinued Ops.,,,,305.5,31.2,-72.8,-57.3,,,,,ASIANPAINT
Other Operating Activities,1093.6,-45,219.9,-777.8,-1291.5,1807.4,-124.3,616.1,-510.5,1494.4,422.1,ASIANPAINT
Change in Acc. Receivable,-2543.6,-1548.7,-1458.4,-4747,-4826.6,-2054.4,1604.4,-8485.7,-13264.8,-8339.4,-3618.9,ASIANPAINT
Change In Inventories,-2307.7,-1442.2,2016.6,-6287,-394.9,-4915.4,-2505.3,-4087.9,-23543.8,-559.8,3149.4,ASIANPAINT
Change in Acc. Payable,3166.8,-1511.5,1419.7,5005.9,4425,2872.7,-2407.5,11427.5,6440.2,-5389.7,2685.8,ASIANPAINT
Change in Other Net Operating Assets,,,,,,,,-918.5,2416.2,6567.8,-2115.8,ASIANPAINT
Cash from Ops.,14020.3,11876.9,22429.5,15273.3,21134.4,24695.4,30381.5,36833.5,9864.9,41934.3,61036,ASIANPAINT
Capital Expenditure,-2510.1,-4537.8,-8171.1,-6841.3,-14259.8,-11507.9,-4035.4,-2818.7,-5382.4,-12733.7,-21990.1,ASIANPAINT
"Sale of Property, Plant, and Equipment",156.3,161.3,149.1,169.2,172,172.4,366,276.1,395.8,259.2,51.3,ASIANPAINT
Cash Acquisitions,-589,-1598.1,,,-5249.9,,,,,,-750,ASIANPAINT
Divestitures,229.3,,,,,,168.2,,,,,ASIANPAINT
Invest. in Marketable & Equity Securt.,-4132,381,-1477.6,-948,1170.4,1303.5,-2536,-3678.5,972.8,16.4,-1780,ASIANPAINT
Net (Inc.) Dec. in Loans Originated/Sold,,,,,,,,,,,,ASIANPAINT
Other Investing Activities,793.5,816,836.7,1059.1,2174.5,587.1,823,743.2,796.9,-288.3,-707.5,ASIANPAINT
Cash from Investing,-6052,-4777.6,-8662.9,-6561,-15992.8,-9444.9,-5214.2,-5477.9,-3216.9,-12746.4,-25176.3,ASIANPAINT
Short Term Debt Issued,426.1,1956,16.9,2399.7,,741.9,,377.8,2926.8,1597.6,949.8,ASIANPAINT
Long-Term Debt Issued,18.2,431.6,67.7,311,101.8,147.5,179.1,21.4,398.7,940,59.1,ASIANPAINT
Total Debt Issued,444.3,2387.6,84.6,2710.7,101.8,889.4,179.1,399.2,3325.5,2537.6,1008.9,ASIANPAINT
Short Term Debt Repaid,-619.8,-768.9,-1171.6,,-272.4,,-2687.9,,,,,ASIANPAINT
Long-Term Debt Repaid,-193.6,-87.9,-16.3,-576.5,-269.2,-2057.1,-1895.6,-2171.6,-2292.9,-2712.7,-2998,ASIANPAINT
Total Debt Repaid,-813.4,-856.8,-1187.9,-576.5,-541.6,-2057.1,-4583.5,-2171.6,-2292.9,-2712.7,-2998,ASIANPAINT
Issuance of Common Stock,,,,,,,,,,,9.1,ASIANPAINT
Repurchase of Common Stock,,,,,,,,,-749.5,-355.7,,ASIANPAINT
Common Dividends Paid,-5466.9,-6946.6,-6234.8,-9473.3,-10259.1,-10487,-21207.1,-4993.5,-17409.5,-19360.5,-25508.8,ASIANPAINT
Total Dividends Paid,-5466.9,-6946.6,-6234.8,-9473.3,-10259.1,-10487,-21207.1,-4993.5,-17409.5,-19360.5,-25508.8,ASIANPAINT
Special Dividend Paid,,,,,-1918.4,,,,,,,ASIANPAINT
Other Financing Activities,-423.1,-345.1,-1151.7,-225.2,-1174.1,480.1,-3103.1,261.9,-949.7,-1509.2,-2336.2,ASIANPAINT
Cash from Financing,-6259.1,-5760.9,-8489.8,-7564.3,-13791.4,-11174.6,-28714.6,-6504,-18076.1,-21400.5,-29825,ASIANPAINT
Foreign Exchange Rate Adj.,166.2,24.7,0.8,-250.1,431.4,267,35.1,72.5,49.4,-77,-308.5,ASIANPAINT
Misc. Cash Flow Adj.,25.9,103,,,,,,,,,,ASIANPAINT
Net Change in Cash,1901.3,1466.1,5277.6,897.9,-8218.4,4342.9,-3512.2,24924.1,-11378.7,7710.4,5726.2,ASIANPAINT
Supplemental Items,,,,,,,,,,,,ASIANPAINT
Cash Interest Paid,365.2,375.3,367.2,356.8,342.9,1058.7,1008.9,893.1,935.6,1419.5,1905.7,ASIANPAINT
Cash Taxes Paid,4801.6,6329.4,9286,9254,10807.4,9820,10107.5,10797.2,11756.9,14942.8,18350.5,ASIANPAINT
Levered Free Cash Flow,10998,6399.5,9350.1,6898.3,7632.8,13048.1,18777,31273.5,761.6,11504.4,40928.3,ASIANPAINT
Unlevered Free Cash Flow,11226.3,6634.1,9579.6,7071.9,7847.1,13706,19416.5,31846.2,1357.9,12407.2,42210.6,ASIANPAINT
Change in Net Working Capital,-148.2,3853.3,589.9,6047.9,-770.1,725.4,5508.1,-1350.1,26453,17716.9,-13312.6,ASIANPAINT
Net Debt Issued,-369.1,1530.8,-1103.3,2134.2,-439.8,-1167.7,-4404.4,-1772.4,1032.6,-175.1,-1989.1,ASIANPAINT
Net Cash From Discontinued Ops. - Investing,,,,,1406.7,,,,,,,ASIANPAINT
Filing Date,,,,,,,,,,,,ASIANPAINT
Restatement Type,,,,,,,,,,,,ASIANPAINT
Calculation Type,,,,,,,,,,,,ASIANPAINT
,,,,,,,,,,,,ASIANPAINT
Net Income,63101.2,74479,83496.7,39530,4558.2,50385.9,18531.1,71955,141192.9,108184.5,263862,AXISBANK
Depreciation & Amort.,3754.6,4196,4613.9,5267,5905.8,5298.5,5707,7147,7361.7,127627.5,13884.6,AXISBANK
"Depreciation & Amort., Total",3754.6,4196,4613.9,5267,5905.8,5298.5,5707,7147,7361.7,127627.5,13884.6,AXISBANK
Other Amortization,,,,,,2073.2,2353.7,2646.9,3128.2,3829,,AXISBANK
(Gain) Loss On Sale of Assets,147.4,37,-60.6,39,167.1,247.7,50.8,87.7,61.1,76.9,,AXISBANK
(Gain) Loss On Sale Of Invest.,-229.3,269,1624.8,3844,776.4,6196.9,4906.1,19212,5593,14846.8,4628.6,AXISBANK
Provision for Credit Losses,17838.2,19995,41343.7,118119,161990.4,110667.7,143539.6,156674.6,98049.7,58039.6,69620,AXISBANK
Stock-Based Compensation,,,,,,,,,1507.7,2860.2,5195.7,AXISBANK
Change in Other Net Operating Assets,-224790.8,-667598,-829469.5,-378887,-927517.9,-755466.3,-830947.1,-790763.4,-1204401.7,-1356490.2,-1640060.9,AXISBANK
Other Operating Activities,895.2,-34,-7076,-32631,-36533.9,967.2,45902.4,4706.9,2765.1,10161.5,14546.4,AXISBANK
Cash from Ops.,-139283.6,-568656,-705527,-244719,-790653.9,-579629.2,-609956.4,-528333.3,-944742.3,-1030864.2,-1268323.6,AXISBANK
Capital Expenditures,-6077.9,-5386,-14944,-7737,-8549.8,-8803.7,-11042.7,-9384.4,-14089.7,-13894.2,-23854.1,AXISBANK
"Sale of Property, Plant and Equipment",1696.4,100,192.7,65,120.5,547.2,273.4,135.5,72.5,117.3,90.7,AXISBANK
Cash Acquisitions,,,,,-3954.6,,,,,-116025.4,-3298.5,AXISBANK
Divestitures,,,,,,,,,,,,AXISBANK
Net Cash from Investments,-136191.6,-73836,107004.3,-116760,-88085.4,-178658.5,-85819.4,-532699.3,-258303.8,-197141.5,-63819.7,AXISBANK
Net (Increase)/Decrease in Loans Orig/Sold,,,,,,,,,,,,AXISBANK
Deferred Charges,,,,,,,,,,,,AXISBANK
Total Other Investing Activities,,,,,,,,,,,,AXISBANK
