Particulars,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,Company Symbol
Minority Int. in Earnings,-3499.5,108.9,624.9,1630.5,2112.3,981.8,-1231.2,-111.4,513.4,-944.9,ADANIENT
Net Income,19480.5,10107.2,9877.4,7572.5,7171.4,11381.7,9226.4,7765.6,24729.4,32407.8,ADANIENT
Pref. Dividends and Other Adj.,,,,,,,,,,1353.6,ADANIENT
NI to Common Incl Extra Items,19480.5,10107.2,9877.4,7572.5,7171.4,11381.7,9226.4,7765.6,24729.4,31054.2,ADANIENT
NI to Common Excl. Extra Items,19480.5,10107.2,10265.4,7096.4,6263.6,11381.7,9226.4,7765.6,24639.8,31041.9,ADANIENT
Per Share Items,,,,,,,,,,,ADANIENT
Basic EPS,17.7,9.2,9,6.9,6.5,10.3,8.4,7.1,21.8,27.2,ADANIENT
Basic EPS Excl. Extra Items,17.7,9.2,9.3,6.5,5.7,10.3,8.4,7.1,21.7,27.2,ADANIENT
Weighted Avg. Basic Shares Out.,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1135.5,1140,ADANIENT
Diluted EPS,17.7,9.2,9,6.9,6.5,10.3,8.4,7.1,21.8,27.2,ADANIENT
Diluted EPS Excl. Extra Items,17.7,9.2,9.3,6.5,5.7,10.3,8.4,7.1,21.7,27.2,ADANIENT
Weighted Avg. Diluted Shares Out.,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1099.8,1135.5,1140,ADANIENT
Normalized Basic EPS,12.1,6.4,7.3,6.6,5.8,7,8.1,6.8,21.3,28.4,ADANIENT
Normalized Diluted EPS,12.1,6.4,7.3,6.6,5.8,7,8.1,6.8,21.3,28.4,ADANIENT
Dividends per Share,1.4,0.4,0.4,0.4,0.4,1,1,1,1.2,1.3,ADANIENT
Payout Ratio %,0.1,0.2,,0.1,0.1,0.1,,0.2,0,0,ADANIENT
Revenue,61519.8,71086.5,84393.5,113229.6,109254.4,114387.7,125496,171187.9,208519.1,267105.6,ADANIPORTS
Other Revenue,,,,,,,,,,,ADANIPORTS
Total Revenue,61519.8,71086.5,84393.5,113229.6,109254.4,114387.7,125496,171187.9,208519.1,267105.6,ADANIPORTS
Cost Of Goods Sold,19188.2,21544.7,25959.3,37297,33523.2,37107.6,39449.6,57244.4,69711,91853.6,ADANIPORTS
Gross Profit,42331.6,49541.8,58434.2,75932.6,75731.2,77280.1,86046.4,113943.5,138808.1,175252,ADANIPORTS
Selling General & Admin Exp.,292.4,427.5,463.2,489.1,519.5,168.5,208.8,434.6,521.7,1121.3,ADANIPORTS
R & D Exp.,,,,,,,,,,,ADANIPORTS
Depreciation & Amort.,9116.8,10629.6,11601.9,11883.7,13734.8,16802.8,21073.4,30993,34247.1,38884.6,ADANIPORTS
Other Operating Expense/(Income),2217.1,2699.4,3415.7,3653.8,4290.3,5603.1,5726.1,8490.4,9387.9,14964.1,ADANIPORTS
"Other Operating Exp., Total",11626.3,13756.5,15480.8,16026.6,18544.6,22574.4,27008.3,39918,44156.7,54970,ADANIPORTS
Operating Income,30705.3,35785.3,42953.4,59906,57186.6,54705.7,59038.1,74025.5,94651.4,120282,ADANIPORTS
Interest Expense,-11868.7,-10953.6,-12039.6,-11976.9,-14159.8,-19089.8,-20534.2,-25212.8,-25486.8,-27062.4,ADANIPORTS
Interest and Invest. Income,6122.8,6330.8,8695.8,9050.8,12271.9,16777.4,17651.8,19447.3,12466.3,9971.7,ADANIPORTS
Net Interest Exp.,-5745.9,-4622.8,-3343.8,-2926.1,-1887.9,-2312.4,-2882.4,-5765.5,-13020.5,-17090.7,ADANIPORTS
Income/(Loss) from Affiliates,,192.7,92.6,,-0.6,-43.9,-142.7,173.9,477.8,-1616.9,ADANIPORTS
Currency Exchange Gains (Loss),-722.5,-503,2774.4,-832.9,-4759.2,-16263.8,7152.4,-8720.7,-18863.2,-1128.2,ADANIPORTS
Other Non-Operating Inc. (Exp.),250.8,125.1,-819.5,-2507,834.3,2703.4,-1186.4,689.5,3338.4,2228.6,ADANIPORTS
EBT Excl. Unusual Items,24487.7,30977.3,41657.1,53640,51373.2,38789,61979,60402.7,66583.9,102674.8,ADANIPORTS
Impairment of Goodwill,,,,,,,,,,,ADANIPORTS
Gain (Loss) On Sale Of Invest.,78.4,300.5,403.3,346.4,430.2,4343,,54.1,207.1,194.1,ADANIPORTS
Gain (Loss) On Sale Of Assets,23.3,-29.2,-35.4,-112.6,-41.4,-124.9,887.3,561.8,603.2,88.9,ADANIPORTS
Asset Writedown,,,-211.5,-1551.8,529.5,,,,-12733.8,,ADANIPORTS
Legal Settlements,,,,,,,,,,-2159,ADANIPORTS
Other Unusual Items,422.7,138.5,67.8,19.3,-1029.3,-567.9,53.8,-3847.2,208.5,138.5,ADANIPORTS
EBT Incl. Unusual Items,25012.1,31387.1,41881.3,52341.3,51262.2,42439.2,62920.1,57171.4,54868.9,100937.3,ADANIPORTS
Income Tax Expense,1767.2,2828.1,2866.3,15441.8,10814.7,4593.9,12432.7,7639.6,960.4,15345.8,ADANIPORTS
Earnings from Cont. Ops.,23244.9,28559,39015,36899.5,40447.5,37845.3,50487.4,49531.8,53908.5,85591.5,ADANIPORTS
Earnings of Discontinued Ops.,,,,,,,,,,,ADANIPORTS
Extraord. Item & Account. Change,,,,,,,,,,-4551.6,ADANIPORTS
Net Income to Company,23244.9,28559,39015,36899.5,40447.5,37845.3,50487.4,49531.8,53908.5,81039.9,ADANIPORTS
Minority Int. in Earnings,-101.6,412.6,100.2,-163.3,-545.3,-214,-544.4,-671.5,-820,66.5,ADANIPORTS
Net Income,23143.3,28971.6,39115.2,36736.2,39902.2,37631.3,49943,48860.3,53088.5,81106.4,ADANIPORTS
Pref. Dividends and Other Adj.,,,,,,,,,,,ADANIPORTS
NI to Common Incl Extra Items,23143.3,28971.6,39115.2,36736.2,39902.2,37631.3,49943,48860.3,53088.5,81106.4,ADANIPORTS
NI to Common Excl. Extra Items,23143.3,28971.6,39115.2,36736.2,39902.2,37631.3,49943,48860.3,53088.5,85658,ADANIPORTS
Per Share Items,,,,,,,,,,,ADANIPORTS
Basic EPS,11.2,14,18.9,17.7,19.3,18.3,24.6,22.6,24.6,37.5,ADANIPORTS
Basic EPS Excl. Extra Items,11.2,14,18.9,17.7,19.3,18.3,24.6,22.6,24.6,39.7,ADANIPORTS
Weighted Avg. Basic Shares Out.,2070.1,2071,2071,2071,2071,2051.2,2031.8,2159.6,2160.1,2160.1,ADANIPORTS
Diluted EPS,11.2,14,18.9,17.7,19.3,18.3,24.6,22.6,24.6,37.5,ADANIPORTS
Diluted EPS Excl. Extra Items,11.2,14,18.9,17.7,19.3,18.3,24.6,22.6,24.6,39.7,ADANIPORTS
Weighted Avg. Diluted Shares Out.,2070.1,2071,2071,2071,2071,2051.2,2031.8,2159.6,2160.1,2160.1,ADANIPORTS
Normalized Basic EPS,7.3,9.5,12.6,16.1,15.2,11.7,18.8,17.2,18.9,29.7,ADANIPORTS
Normalized Diluted EPS,7.3,9.5,12.6,16.1,15.2,11.7,18.8,17.2,18.9,29.7,ADANIPORTS
Dividends per Share,1.1,1.1,1.3,2,0.2,3.2,5,5,5,6,ADANIPORTS
Payout Ratio %,0.1,0.2,0,0.1,0.1,0.2,0,0.2,0.2,0.1,ADANIPORTS
Supplemental Items,,,,,,,,,,,ADANIPORTS
EBITDA,39822.1,46340.9,54473.3,71678.7,70722.1,70326.7,79022.5,103655.4,126517.8,156640.4,ADANIPORTS
Revenue,51784.5,62146.5,72557,82434.7,96174,112468,105600,146626,166125,190592,APOLLOHOSP
Other Revenue,,,,,1,,,,,,APOLLOHOSP
Total Revenue,51784.5,62146.5,72557,82434.7,96175,112468,105600,146626,166125,190592,APOLLOHOSP
Cost Of Goods Sold,34412.2,40783,48840.2,55273.9,63598,74796,74204,95317,109117,122992,APOLLOHOSP
Gross Profit,17372.3,21363.6,23716.8,27160.8,32577,37672,31396,51309,57008,67600,APOLLOHOSP
Selling General & Admin Exp.,3347.5,4227.6,4555.7,5063.9,5476,3348,2635,4669,7829,,APOLLOHOSP
Provision for Bad Debts,258.7,239,180.1,110.9,,,,,,,APOLLOHOSP
Stock-Based Compensation,,,4.4,,,,,,,,APOLLOHOSP
R & D Exp.,,,,,,,,,,,APOLLOHOSP
Depreciation & Amort.,2116.5,2638.3,3140.4,3590.3,3955,6197,5731,6007,6154,6870,APOLLOHOSP
Other Operating Expense/(Income),6381.2,9955.3,11638.8,13973.8,16404,18414,17358,24749,28533,43693,APOLLOHOSP
"Other Operating Exp., Total",12103.9,17060.3,19519.3,22738.8,25835,27959,25724,35425,42516,50563,APOLLOHOSP
Operating Income,5268.4,4303.3,4197.5,4422,6742,9713,5672,15884,14492,17037,APOLLOHOSP
Interest Expense,-1033.6,-1621.9,-2284.3,-2592.1,-2837,-4633,-4058,-3304,-3137,-4494,APOLLOHOSP
Interest and Invest. Income,64.3,96.4,130.4,194.2,149,173,218,351,444,,APOLLOHOSP
Net Interest Exp.,-969.3,-1525.4,-2153.9,-2397.9,-2688,-4460,-3840,-2953,-2693,-4494,APOLLOHOSP
Income/(Loss) from Affiliates,93.5,272.4,423.9,2.3,10,-31,8,73,-432,180,APOLLOHOSP
Currency Exchange Gains (Loss),-9.3,-102.2,187,-18,-9,-51,-41,6,3,,APOLLOHOSP
Other Non-Operating Inc. (Exp.),53.1,66.2,-389.5,-213.6,-338,-579,-250,-310,-500,1063,APOLLOHOSP
EBT Excl. Unusual Items,4436.4,3014.4,2265,1794.7,3717,4592,1549,12700,10870,13786,APOLLOHOSP
Impairment of Goodwill,,,,,,,,,,,APOLLOHOSP
Gain (Loss) On Sale Of Invest.,104,184.3,2.8,,32,32,89,253,285,,APOLLOHOSP
Gain (Loss) On Sale Of Assets,-27.7,-36.8,-46.9,-80.1,-14,-37,-29,-40,-150,,APOLLOHOSP
Other Unusual Items,135,159.4,,,,1983,606,2941,,19,APOLLOHOSP
EBT Incl. Unusual Items,4647.7,3321.2,2220.8,1714.6,3735,6570,2215,15854,11005,13805,APOLLOHOSP
Income Tax Expense,1300,969,909.6,1119,1734,2252,847,4770,2562,4455,APOLLOHOSP
Earnings from Cont. Ops.,3347.6,2352.3,1311.2,595.6,2001,4318,1368,11084,8443,9350,APOLLOHOSP
Earnings of Discontinued Ops.,,,,,,,,,,,APOLLOHOSP
Extraord. Item & Account. Change,,,,,,,,,,,APOLLOHOSP
Net Income to Company,3347.6,2352.3,1311.2,595.6,2001,4318,1368,11084,8443,9350,APOLLOHOSP
Minority Int. in Earnings,51.4,11.5,898.7,578.6,359,231,136,-528,-252,-364,APOLLOHOSP
Net Income,3399,2363.8,2209.9,1174.2,2360,4549,1504,10556,8191,8986,APOLLOHOSP
Pref. Dividends and Other Adj.,,,,,,,,,,,APOLLOHOSP
NI to Common Incl Extra Items,3399,2363.8,2209.9,1174.2,2360,4549,1504,10556,8191,8986,APOLLOHOSP
NI to Common Excl. Extra Items,3399,2363.8,2209.9,1174.2,2360,4549,1504,10556,8191,8986,APOLLOHOSP
Per Share Items,,,,,,,,,,,APOLLOHOSP
Basic EPS,24.4,17,15.9,8.4,17,32.7,10.7,73.4,57,62.5,APOLLOHOSP
Basic EPS Excl. Extra Items,24.4,17,15.9,8.4,17,32.7,10.7,73.4,57,62.5,APOLLOHOSP
Weighted Avg. Basic Shares Out.,139.1,139.1,139.1,139.1,139.1,139.1,140,143.8,143.8,143.8,APOLLOHOSP
Diluted EPS,24.4,17,15.9,8.4,17,32.7,10.7,73.4,57,62.5,APOLLOHOSP
Diluted EPS Excl. Extra Items,24.4,17,15.9,8.4,17,32.7,10.7,73.4,57,62.5,APOLLOHOSP
Weighted Avg. Diluted Shares Out.,139.1,139.1,139.1,139.1,139.1,139.1,140,143.8,143.8,143.8,APOLLOHOSP
Normalized Basic EPS,20.3,13.6,16.6,12.2,19.3,22.3,7.9,51.5,45.5,57.4,APOLLOHOSP
Normalized Diluted EPS,20.3,13.6,16.6,12.2,19.3,22.3,7.9,51.5,45.5,57.4,APOLLOHOSP
Dividends per Share,5.8,6,6,5,6,6,3,11.8,15,16,APOLLOHOSP
Payout Ratio %,0.2,0.7,,0.9,0.4,0.3,0.3,0,0.3,0.2,APOLLOHOSP
Shares per Depository Receipt,1,1,1,1,1,1,1,1,1,1,APOLLOHOSP
Revenue,140053.3,140915.6,148725.2,166005.8,190623.8,200483.2,214852,289234.8,343678.3,353821.2,ASIANPAINT
Other Revenue,628.6,328.9,394.2,469.1,220.9,202,183.6,583.9,622.6,554,ASIANPAINT
Total Revenue,140681.9,141244.5,149119.4,166474.9,190844.7,200685.2,215035.6,289818.7,344300.9,354375.2,ASIANPAINT
Cost Of Goods Sold,80777.4,81527,84340.4,98036.9,113584.2,114968.3,122047.9,184341.9,213183.4,202611,ASIANPAINT
Gross Profit,59904.5,59717.5,64779,68438,77260.5,85716.9,92987.7,105476.8,131117.5,151764.2,ASIANPAINT
Selling General & Admin Exp.,18159,17317.2,18701.8,20204.4,20313.8,24408.6,24838,29265.2,33689.4,38351.5,ASIANPAINT
Provision for Bad Debts,28,6.2,3.2,49.5,32.8,62.8,34.2,21.5,34.4,92,ASIANPAINT
R & D Exp.,,,,,,,,,,,ASIANPAINT
Depreciation & Amort.,2641.5,2739.4,3347.9,3575.3,6221.4,7805,7912.7,8163.6,8580.2,8530,ASIANPAINT
Other Operating Expense/(Income),19282.9,14719,16209.8,16237.4,19199.5,19615.5,19559.5,28154,34183.4,37367.1,ASIANPAINT
"Other Operating Exp., Total",40111.4,34781.8,38262.7,40066.6,45767.5,51891.9,52344.4,65604.3,76487.4,84340.6,ASIANPAINT
Operating Income,19793.1,24935.7,26516.3,28371.4,31493,33825,40643.3,39872.5,54630.1,67423.6,ASIANPAINT
Interest Expense,-375.3,-367.2,-277.8,-342.9,-1052.7,-1023.3,-916.3,-954.1,-1444.5,-2051.7,ASIANPAINT
Interest and Invest. Income,821.2,915.7,1070.4,772.5,791.8,928.4,751.3,1078.8,1342.8,1900.9,ASIANPAINT
Net Interest Exp.,445.9,548.5,792.6,429.6,-260.9,-94.9,-165,124.7,-101.7,-150.8,ASIANPAINT
Income/(Loss) from Affiliates,,334.2,496.1,457.9,407.3,507.4,286,315.7,938.5,1330,ASIANPAINT
Currency Exchange Gains (Loss),97.4,-18,90.9,289.9,-59,-12.3,98.2,379.8,-611.9,-99,ASIANPAINT
Other Non-Operating Inc. (Exp.),355.9,544.3,718.4,582.9,796.5,1195.9,937.8,1056,1153.5,2585.7,ASIANPAINT
EBT Excl. Unusual Items,20692.3,26344.7,28614.3,30131.7,32376.9,35421.1,41800.3,41748.7,56008.5,71089.5,ASIANPAINT
Restructuring Charges,-275.7,,,,,,,,,,ASIANPAINT
Impairment of Goodwill,,-524.5,,,,,,-134.7,-246.6,,ASIANPAINT
Gain (Loss) On Sale Of Invest.,318.2,532.5,677.8,543.3,527.6,760.9,936.1,768.9,1206.1,2296.3,ASIANPAINT
Gain (Loss) On Sale Of Assets,26.9,112.3,13.5,4.7,141.7,141.7,183.3,443.6,117.2,20.8,ASIANPAINT
Asset Writedown,-4.7,,,,,,,,,,ASIANPAINT
Insurance Settlements,11.7,7.7,31.2,5.1,12.8,4.3,91.8,30.3,15.6,20.9,ASIANPAINT
Other Unusual Items,,,,,60,11.9,32,-979.6,-212.5,50.2,ASIANPAINT
EBT Incl. Unusual Items,20768.7,26472.7,29336.8,30684.8,33119,36339.9,43043.5,41877.2,56888.3,73477.7,ASIANPAINT
Income Tax Expense,6495.4,8444.9,9432.9,10409.6,10980.6,8548.5,10976,11029.1,14935,17900.8,ASIANPAINT
Earnings from Cont. Ops.,14273.3,18027.8,19903.9,20275.2,22138.4,27791.4,32067.5,30848.1,41953.3,55576.9,ASIANPAINT
Earnings of Discontinued Ops.,,,258.6,700,-58,-49.5,,,,,ASIANPAINT
Extraord. Item & Account. Change,,,,,,,,,,,ASIANPAINT
Net Income to Company,14273.3,18027.8,20162.5,20975.2,22080.4,27741.9,32067.5,30848.1,41953.3,55576.9,ASIANPAINT
Minority Int. in Earnings,-321.8,-576.2,-768.2,-585.9,-521.2,-690.2,-674.6,-542.4,-888.8,-974.6,ASIANPAINT
Net Income,13951.5,17451.6,19394.3,20389.3,21559.2,27051.7,31392.9,30305.7,41064.5,54602.3,ASIANPAINT
Pref. Dividends and Other Adj.,,,,,,,,,,,ASIANPAINT
NI to Common Incl Extra Items,13951.5,17451.6,19394.3,20389.3,21559.2,27051.7,31392.9,30305.7,41064.5,54602.3,ASIANPAINT
NI to Common Excl. Extra Items,13951.5,17451.6,19135.7,19689.3,21617.2,27101.2,31392.9,30305.7,41064.5,54602.3,ASIANPAINT
Per Share Items,,,,,,,,,,,ASIANPAINT
Basic EPS,14.5,18.2,20.2,21.3,22.5,28.2,32.7,31.6,42.8,56.9,ASIANPAINT
Basic EPS Excl. Extra Items,14.5,18.2,19.9,20.5,22.5,28.3,32.7,31.6,42.8,56.9,ASIANPAINT
Weighted Avg. Basic Shares Out.,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.1,958.9,958.8,ASIANPAINT
Diluted EPS,14.5,18.2,20.2,21.3,22.5,28.2,32.7,31.6,42.8,56.9,ASIANPAINT
Diluted EPS Excl. Extra Items,14.5,18.2,19.9,20.5,22.5,28.3,32.7,31.6,42.8,56.9,ASIANPAINT
Weighted Avg. Diluted Shares Out.,959.2,959.2,959.2,959.2,959.2,959.2,959.2,959.1,958.9,959,ASIANPAINT
Normalized Basic EPS,13.1,16.6,17.8,19,20.6,22.4,26.5,26.6,35.6,45.3,ASIANPAINT
Normalized Diluted EPS,13.1,16.6,17.8,19,20.6,22.4,26.5,26.6,35.6,45.3,ASIANPAINT
Dividends per Share,6.1,7.5,8.3,8.7,10.5,12,17.8,19.2,25.6,33.3,ASIANPAINT
Payout Ratio %,0.5,0.4,0.5,0.5,0.5,0.8,0.2,0.6,0.5,0.5,ASIANPAINT
Interest Income On Loans,357275,414092.5,451751,466140.6,560436.5,637156.8,643973.6,688460.6,874483.7,903140.2,AXISBANK
Interest Income On Investments,,,,,,,,,,224450.3,AXISBANK
Total Interest Income,357275,414092.5,451751,466140.6,560436.5,637156.8,643973.6,688460.6,874483.7,1127590.5,AXISBANK
Interest On Deposits,213413,243442.3,267894,276036.9,338834.7,379959.4,346273.8,349226.6,433891.5,613907.4,AXISBANK
Total Interest Expense,213413,243442.3,267894,276036.9,338834.7,379959.4,346273.8,349226.6,433891.5,613907.4,AXISBANK
Net Interest Income,143862,170650.2,183857,190103.7,221601.8,257197.4,297699.8,339234,440592.2,513683.1,AXISBANK
Gain (Loss) On Sale Of Assets (Rev),-37,60.6,-39,-167.1,-247.7,-50.8,-87.7,-61.1,-76.9,,AXISBANK
Gain on Sale of Invest. & Secur (Rev),10183,10408.5,32286,13649,7928.1,21872.9,10083.2,14227.1,-2367.3,,AXISBANK
Total Other Non-Interest Income,78235,89080.7,91969,105144.2,134207.1,141597.8,125773.7,158515.3,189508,252303.1,AXISBANK
Non-Oper. Income (Exp.),,,,,,,,,,,AXISBANK
Total Non Interest Income,88381,99549.8,124216,118626.2,141887.5,163419.9,135769.2,172681.3,187063.8,252303.1,AXISBANK
Revenue Before Loan Losses,232243,270199.9,308073,308729.8,363489.3,420617.3,433469,511915.3,627656,765986.2,AXISBANK
Provision For Loan Losses,23312,37186.6,121280,155187.3,145816.5,221172.2,169196.3,122029.5,104537.3,41780.7,AXISBANK
Total Revenue,208931,233013.4,186793,153542.5,217672.8,199445.1,264272.7,389885.8,523118.7,724205.5,AXISBANK
Salaries and Other Empl. Benefits,36157,40193.4,47421,54144.4,59898.7,58199.6,67689.5,82632.9,93789.4,116741.1,AXISBANK
Stock-Based Compensation,,,,,,,,1507.7,2860.2,,AXISBANK
Amort. of Goodwill & Intang. Assets,,,,,,,,,,,AXISBANK
Occupancy Expense,20021,18942.6,23671,25028.8,29179.2,31635.4,34236.4,38758.9,162223.2,,AXISBANK
"Selling General & Admin Exp., Total",5526,5303,6676,7697.8,7994.2,7208.1,7452.4,9182,11259.7,5195.7,AXISBANK
(Income)/Loss from Affiliates,-14,,,,,,,-425.4,-658.5,-687.1,AXISBANK
Total Other Non-Interest Expense,34395,41674.7,49488,61012.7,70129.7,83614.5,82370.5,116160.8,142138.2,250488.7,AXISBANK
Total Non-Interest Expense,96085,106113.7,127256,147883.6,167201.9,180657.6,191748.8,247816.9,411612.2,371738.4,AXISBANK
EBT Excl. Unusual Items,112846,126899.6,59537,5658.8,50470.9,18787.5,72523.9,142068.9,111506.5,352467.1,AXISBANK
Impairment of Goodwill,,,,,,,,,,,AXISBANK
Other Unusual Items,,,,,,,,,-2321.4,,AXISBANK
EBT Incl. Unusual Items,112846,126899.6,59537,5658.8,50470.9,18787.5,72523.9,142068.9,109185.1,352467.1,AXISBANK
Income Tax Expense,38347,43323.8,19867,1018.6,,,,,,87544.6,AXISBANK
Earnings from Cont. Ops.,74499,83575.8,39670,4640.2,50470.9,18787.5,72523.9,142068.9,109185.1,264922.5,AXISBANK
Earnings of Discontinued Ops.,,,,,,,,,,,AXISBANK
Extraord. Item & Account. Change,,,,,,,,,,,AXISBANK
Net Income to Company,74499,83575.8,39670,4640.2,50470.9,18787.5,72523.9,142068.9,109185.1,264922.5,AXISBANK
Minority Int. in Earnings,-20,-79.2,-140,-82.1,-85,-256.4,-568.9,-876,-1000.6,-1060.5,AXISBANK
Net Income,74479,83496.7,39530,4558.2,50385.9,18531.1,71955,141192.9,108184.5,263862,AXISBANK
Pref. Dividends and Other Adj.,,,,,,,,,,,AXISBANK
NI to Common Incl Extra Items,74479,83496.7,39530,4558.2,50385.9,18531.1,71955,141192.9,108184.5,263862,AXISBANK
NI to Common Excl. Extra Items,74479,83496.7,39530,4558.2,50385.9,18531.1,71955,141192.9,108184.5,263862,AXISBANK
Per Share Items,,,,,,,,,,,AXISBANK
Basic EPS,31.6,35.1,16.5,1.9,19.6,6.8,24.2,46,35.2,85.6,AXISBANK
Basic EPS Excl. Extra Items,31.6,35.1,16.5,1.9,19.6,6.8,24.2,46,35.2,85.6,AXISBANK
Weighted Avg. Basic Shares Out.,2360,2377.3,2389,2445.1,2569,2715.1,2974.7,3066.5,3073,3081.8,AXISBANK
Diluted EPS,31.2,34.9,16.5,1.9,19.5,6.8,24.1,45.9,35,85,AXISBANK
Diluted EPS Excl. Extra Items,31.2,34.9,16.5,1.9,19.5,6.8,24.1,45.9,35,85,AXISBANK
Weighted Avg. Diluted Shares Out.,2385,2390.3,2399,2452.6,2584.8,2724.9,2982.6,3075.7,3087.8,3103.9,AXISBANK
Normalized Basic EPS,29.9,33.3,15.5,1.4,12.2,4.2,15,28.7,22.4,71.1,AXISBANK
Normalized Diluted EPS,29.6,33.1,15.5,1.4,12.2,4.2,15,28.6,22.2,70.6,AXISBANK
Dividends per Share,4.6,5,5,,1,,,1,1,1,AXISBANK
Payout Ratio %,0.1,0.2,0.4,3.2,0,0.2,,,0,0,AXISBANK
Shares per Depository Receipt,5,5,5,5,5,5,5,5,5,5,AXISBANK
Supplemental Items,,,,,,,,,,,AXISBANK
Effective Tax Rate %,0.3,0.3,0.3,0.2,,,,,,0.2,AXISBANK
Revenue,211061.5,221517.1,213735.2,247003,295672.5,291115.4,271329,321359.8,353915.2,437820.8,BAJAJ-AUTO
Gain(Loss) on Sale Of Invest. (Rev),2516.8,7256.3,8881.7,9207.8,4113.2,5004.7,2644.2,2817,1756.7,,BAJAJ-AUTO
Interest And Invest. Income (Rev),1737.4,1183.5,1450.5,864.2,9293.9,10338.8,11062.9,10493.9,8930.1,,BAJAJ-AUTO
Other Revenue,4519.9,4458.6,4425.4,5239,6585.1,6949.5,4538.7,8203.6,8648,25243.7,BAJAJ-AUTO
Total Revenue,219835.6,234415.5,228492.8,262314,315664.7,313408.4,289574.8,342874.3,373250,463064.5,BAJAJ-AUTO
Cost Of Goods Sold,149911.6,152428.5,147899.4,175492.9,219123.6,211715.9,197142,244781.4,262726.6,318457,BAJAJ-AUTO
